"year","month","provname","time","cases_per_1000","oni_anomaly","avg_wave_coherence_oni","avg_cross_power_oni"
2002,1,"Banteay Meanchey",2002,0.0095508889087126,-0.15,0.977363234363866,0.39335146572039
2002,2,"Banteay Meanchey",2002.11538461538,0.0285930867966452,0.03,0.976981403238676,0.399400833176969
2002,3,"Banteay Meanchey",2002.19230769231,0.0777471660361727,0.09,0.978012907626212,0.405150894395074
2002,4,"Banteay Meanchey",2002.26923076923,0.0617712034404738,0.2,0.977624848703707,0.411417039673026
2002,5,"Banteay Meanchey",2002.34615384615,0.208840444980157,0.43,0.977225859546676,0.416426729352744
2002,6,"Banteay Meanchey",2002.42307692308,0.276423630027504,0.65,0.976815561920997,0.422069686742716
2002,7,"Banteay Meanchey",2002.5,0.353388674971725,0.79,0.976393601134425,0.428698942005861
2002,8,"Banteay Meanchey",2002.57692307692,0.258381760195045,0.86,0.975959645490818,0.434968806251698
2002,9,"Banteay Meanchey",2002.65384615385,0.199793760528189,1.01,0.975513385770616,0.440276648385017
2002,10,"Banteay Meanchey",2002.73076923077,0.160237398203077,1.21,0.975054534734319,0.447289694068501
2002,11,"Banteay Meanchey",2002.80769230769,0.0611779884982077,1.31,0.974582826645956,0.453879481448806
2002,12,"Banteay Meanchey",2002.88461538462,0.0360221354497469,1.14,0.974098016813813,0.461135333405832
2003,1,"Banteay Meanchey",2003,0.0593824189632859,0.92,0.973599881145924,0.46846988589054
2003,2,"Banteay Meanchey",2003.11538461538,0.0202772675612695,0.63,0.973088215718015,0.475489005393441
2003,3,"Banteay Meanchey",2003.19230769231,0.0482918505064965,0.38,0.972562836351847,0.481919273130597
2003,4,"Banteay Meanchey",2003.26923076923,0.0933625270377289,-0.04,0.972023578202001,0.489203694216028
2003,5,"Banteay Meanchey",2003.34615384615,0.183330110407127,-0.26,0.971470295349409,0.496588135532318
2003,6,"Banteay Meanchey",2003.42307692308,0.342930678572013,-0.16,0.972407132002364,0.504627538796319
2003,7,"Banteay Meanchey",2003.5,0.444760457198592,0.08,0.971842212155944,0.512306797369094
2003,8,"Banteay Meanchey",2003.57692307692,0.289424636470543,0.21,0.970873075613774,0.520640010090318
2003,9,"Banteay Meanchey",2003.65384615385,0.151472637546986,0.26,0.970269637952735,0.52862900005727
2003,10,"Banteay Meanchey",2003.73076923077,0.121948020879815,0.29,0.969651669844581,0.536728107335736
2003,11,"Banteay Meanchey",2003.80769230769,0.0416283676630463,0.35,0.96901913234471,0.545591473107508
2003,12,"Banteay Meanchey",2003.88461538462,0.0200072731393907,0.35,0.968372002647288,0.552675136961209
2004,1,"Banteay Meanchey",2004,0.00921624652659023,0.37,0.967710273688028,0.561877005146738
2004,2,"Banteay Meanchey",2004.11538461538,0.00766860921178291,0.31,0.967033953743835,0.570635584638978
2004,3,"Banteay Meanchey",2004.19230769231,0.00919115307644677,0.23,0.966343066028776,0.5802165492602
2004,4,"Banteay Meanchey",2004.26923076923,0.0214130303616274,0.17,0.965637648285917,0.589336905052604
2004,5,"Banteay Meanchey",2004.34615384615,0.019858818040371,0.17,0.966532603893961,0.599329369702702
2004,6,"Banteay Meanchey",2004.42307692308,0.0335708275229335,0.28,0.965502694257142,0.607303675437315
2004,7,"Banteay Meanchey",2004.5,0.038097641689473,0.47,0.964836085330552,0.61772555211173
2004,8,"Banteay Meanchey",2004.57692307692,0.0456602829334193,0.64,0.964436915742564,0.627595594587619
2004,9,"Banteay Meanchey",2004.65384615385,0.0319283151001122,0.7,0.963755153777954,0.63683669849665
2004,10,"Banteay Meanchey",2004.73076923077,0.0258151666299652,0.67,0.963062009923289,0.647089436636922
2004,11,"Banteay Meanchey",2004.80769230769,0.00909779176407725,0.66,0.962616095451049,0.658491603503857
2004,12,"Banteay Meanchey",2004.88461538462,0.0121118736761651,0.69,0.962238143048291,0.669163542380001
2005,1,"Banteay Meanchey",2005,0.00906782328893591,0.64,0.962666364347741,0.681120223120547
2005,2,"Banteay Meanchey",2005.11538461538,0.0150872769707298,0.58,0.96194073927209,0.693365438443224
2005,3,"Banteay Meanchey",2005.19230769231,0.0150689313817318,0.45,0.961204595520789,0.705919092806755
2005,4,"Banteay Meanchey",2005.26923076923,0.0240835685305807,0.43,0.960458106196365,0.720770810910715
2005,5,"Banteay Meanchey",2005.34615384615,0.130787670972677,0.29,0.959701451319674,0.732172724120638
2005,6,"Banteay Meanchey",2005.42307692308,0.177185664603666,0.11,0.958934817391345,0.745865226140567
2005,7,"Banteay Meanchey",2005.5,0.607419405352181,-0.06,0.959254801427246,0.75991085787093
2005,8,"Banteay Meanchey",2005.57692307692,0.495863248229624,-0.14,0.958489659202311,0.774464054664169
2005,9,"Banteay Meanchey",2005.65384615385,0.240894859407855,-0.11,0.957715513878122,0.790655446529615
2005,10,"Banteay Meanchey",2005.73076923077,0.0732300783618616,-0.29,0.957903606676787,0.806135954786228
2005,11,"Banteay Meanchey",2005.80769230769,0.0552274307291343,-0.57,0.95713319492276,0.820587873814204
2005,12,"Banteay Meanchey",2005.88461538462,0.0223569224142783,-0.84,0.956354788378238,0.835192179862875
2006,1,"Banteay Meanchey",2006,0.0133904614697366,-0.85,0.955568601967879,0.847666954413189
2006,2,"Banteay Meanchey",2006.11538461538,0.00891229403526274,-0.77,0.95564374358347,0.862516925696103
2006,3,"Banteay Meanchey",2006.19230769231,0.0118692988910987,-0.57,0.954864451267777,0.877501402632507
2006,4,"Banteay Meanchey",2006.26923076923,0.0370465436274879,-0.37,0.954078403211476,0.892613983809733
2006,5,"Banteay Meanchey",2006.34615384615,0.0236825848043837,-0.14,0.954034620306435,0.907847984079061
2006,6,"Banteay Meanchey",2006.42307692308,0.0887150588706286,-0.03,0.953257875602885,0.920622776632531
