"time","cases","births","pop","provname"
2002.00273972603,28,12783.7760355,332378.176923,"national"
2002.03835616438,66,12786.2419284189,332442.290138891,"national"
2002.07671232877,54,12788.7078213378,332506.403354782,"national"
2002.11506849315,53,12791.1737142566,332570.516570673,"national"
2002.15342465753,80,12793.6396071755,332634.629786564,"national"
2002.19178082192,123,12796.1055000944,332698.743002455,"national"
2002.2301369863,113,12798.5713930133,332762.856218345,"national"
2002.26849315068,126,12801.0372859322,332826.969434236,"national"
2002.30684931507,185,12803.503178851,332891.082650127,"national"
2002.34520547945,402,12805.9690717699,332955.195866018,"national"
2002.38356164384,501,12808.4349646888,333019.309081909,"national"
2002.42191780822,701,12810.9008576077,333083.4222978,"national"
2002.4602739726,911,12813.3667505266,333147.535513691,"national"
2002.49863013699,1037,12815.8326434455,333211.648729582,"national"
2002.53698630137,1247,12818.2985363643,333275.761945473,"national"
2002.57534246575,1074,12820.7644292832,333339.875161364,"national"
2002.61369863014,955,12823.2303222021,333403.988377255,"national"
2002.65205479452,927,12825.696215121,333468.101593145,"national"
2002.6904109589,879,12828.1621080399,333532.214809036,"national"
2002.72876712329,649,12830.6280009587,333596.328024927,"national"
2002.76712328767,723,12833.0938938776,333660.441240818,"national"
2002.80547945205,486,12835.5597867965,333724.554456709,"national"
2002.84383561644,322,12838.0256797154,333788.6676726,"national"
2002.88219178082,283,12840.4915726343,333852.780888491,"national"
2002.92054794521,262,12842.9574655531,333916.894104382,"national"
2002.95890410959,249,12845.423358472,333981.007320273,"national"
2002.99726027397,252,12847.8892513909,334045.120536164,"national"
2003.03561643836,162,12850.3551443098,334109.233752055,"national"
2003.07397260274,122,12853.8380857699,334199.790230018,"national"
2003.11232876712,97,12858.3380757713,334316.789970055,"national"
2003.15068493151,110,12862.8380657727,334433.789710091,"national"
2003.18904109589,129,12867.3380557741,334550.789450127,"national"
2003.22739726027,166,12871.8380457755,334667.789190164,"national"
2003.26575342466,205,12876.3380357769,334784.7889302,"national"
2003.30410958904,313,12880.8380257783,334901.788670236,"national"
2003.34246575342,361,12885.3380157797,335018.788410273,"national"
2003.38082191781,520,12889.8380057811,335135.788150309,"national"
2003.41917808219,933,12894.3379957825,335252.787890345,"national"
2003.45753424658,939,12898.8379857839,335369.787630382,"national"
2003.49589041096,1200,12903.3379757853,335486.787370418,"national"
2003.53424657534,1298,12907.8379657867,335603.787110455,"national"
2003.57260273973,1263,12912.3379557881,335720.786850491,"national"
2003.61095890411,1161,12916.8379457895,335837.786590527,"national"
2003.64931506849,690,12921.3379357909,335954.786330564,"national"
2003.68767123288,527,12925.8379257923,336071.7860706,"national"
2003.72602739726,420,12930.3379157937,336188.785810636,"national"
2003.76438356164,366,12934.8379057951,336305.785550673,"national"
2003.80273972603,270,12939.3378957965,336422.785290709,"national"
2003.84109589041,181,12943.8378857979,336539.785030745,"national"
2003.87945205479,196,12948.3378757993,336656.784770782,"national"
2003.91780821918,117,12952.8378658007,336773.784510818,"national"
2003.95616438356,87,12957.3378558021,336890.784250855,"national"
2003.99452054795,96,12961.8378458035,337007.783990891,"national"
2004.03287671233,78,12966.3378358049,337124.783730927,"national"
2004.07123287671,70,12970.8378258063,337241.783470964,"national"
2004.1095890411,87,12975.3378158077,337358.783211,"national"
2004.14794520548,88,12981.3382893937,337514.795524236,"national"
2004.18630136986,81,12987.3387629797,337670.807837473,"national"
2004.22465753425,89,12993.3392365657,337826.820150709,"national"
2004.26301369863,77,12999.3397101517,337982.832463945,"national"
2004.30136986301,139,13005.3401837378,338138.844777182,"national"
2004.3397260274,231,13011.3406573238,338294.857090418,"national"
2004.37808219178,474,13017.3411309098,338450.869403655,"national"
2004.41643835616,644,13023.3416044958,338606.881716891,"national"
2004.45479452055,815,13029.3420780818,338762.894030127,"national"
2004.49315068493,1088,13035.3425516678,338918.906343364,"national"
2004.53150684932,1174,13041.3430252538,339074.9186566,"national"
2004.5698630137,915,13047.3434988399,339230.930969836,"national"
2004.60821917808,862,13053.3439724259,339386.943283073,"national"
2004.64657534247,658,13059.3444460119,339542.955596309,"national"
2004.68493150685,587,13065.3449195979,339698.967909545,"national"
2004.72328767123,494,13071.3453931839,339854.980222782,"national"
2004.76164383562,356,13077.3458667699,340010.992536018,"national"
2004.8,274,13083.3463403559,340167.004849255,"national"
2004.83835616438,217,13089.346813942,340323.017162491,"national"
2004.87671232877,156,13095.347287528,340479.029475727,"national"
2004.91506849315,129,13101.347761114,340635.041788964,"national"
2004.95342465753,95,13107.3482347,340791.0541022,"national"
2004.99178082192,90,13113.348708286,340947.066415436,"national"
2005.02739726027,66,13119.349181872,341103.078728673,"national"
2005.06575342466,37,13125.349655458,341259.091041909,"national"
2005.10410958904,56,13131.3501290441,341415.103355145,"national"
2005.14246575342,73,13137.3506026301,341571.115668382,"national"
2005.18082191781,72,13143.7065855979,341736.371225545,"national"
2005.21917808219,86,13150.4180779476,341910.870026636,"national"
2005.25753424658,88,13157.1295702972,342085.368827727,"national"
2005.29589041096,98,13163.8410626469,342259.867628818,"national"
2005.33424657534,202,13170.5525549965,342434.366429909,"national"
2005.37260273973,308,13177.2640473462,342608.865231,"national"
2005.41095890411,378,13183.9755396958,342783.364032091,"national"
2005.44931506849,516,13190.6870320455,342957.862833182,"national"
2005.48767123288,896,13197.3985243951,343132.361634273,"national"
2005.52602739726,1167,13204.1100167448,343306.860435364,"national"
2005.56438356164,1050,13210.8215090944,343481.359236455,"national"
2005.60273972603,852,13217.5330014441,343655.858037545,"national"
2005.64109589041,699,13224.2444937937,343830.356838636,"national"
2005.67945205479,597,13230.9559861434,344004.855639727,"national"
2005.71780821918,420,13237.667478493,344179.354440818,"national"
2005.75616438356,356,13244.3789708427,344353.853241909,"national"
2005.79452054795,309,13251.0904631923,344528.352043,"national"
2005.83287671233,254,13257.801955542,344702.850844091,"national"
2005.87123287671,162,13264.5134478916,344877.349645182,"national"
2005.9095890411,112,13271.2249402413,345051.848446273,"national"
2005.94794520548,87,13277.9364325909,345226.347247364,"national"
2005.98630136986,76,13284.6479249406,345400.846048455,"national"
2006.02465753425,70,13291.3594172902,345575.344849545,"national"
2006.06301369863,53,13298.0709096399,345749.843650636,"national"
2006.10136986301,62,13304.7824019895,345924.342451727,"national"
2006.1397260274,70,13311.4938943392,346098.841252818,"national"
2006.17808219178,129,13318.2053866888,346273.340053909,"national"
2006.21643835616,116,13324.9168790385,346447.838855,"national"
2006.25479452055,191,13331.4153075629,346616.797996636,"national"
2006.29315068493,263,13337.9137360874,346785.757138273,"national"
2006.33150684932,488,13344.4121646119,346954.716279909,"national"
2006.3698630137,570,13350.9105931364,347123.675421545,"national"
2006.40821917808,845,13357.4090216608,347292.634563182,"national"
2006.44657534247,945,13363.9074501853,347461.593704818,"national"
2006.48493150685,1150,13370.4058787098,347630.552846455,"national"
2006.52328767123,1417,13376.9043072343,347799.511988091,"national"
2006.56164383562,1675,13383.4027357587,347968.471129727,"national"
