"provname","year","biweek","epiyr","time","cases","beta","betahigh","betalow","temp_C","precip_m","precip_mm","temp_C_lag","precip_mm_lag"
"Banteay Meanchey",2002,16,2007,2002.57692307692,105,0.000185567049041537,0.00020252119249728,0.000169985868434482,27.9065549714286,0.00500675,5.00675,24.3822546428572,3.85107142857143
"Banteay Meanchey",2002,17,2007,2002.61538461538,59,0.0001678862647548,0.000183103238470605,0.000153893185360477,26.8491930642857,0.00814029285714286,8.14029285714286,28.1454856928572,4.3116
"Banteay Meanchey",2002,18,2007,2002.65384615385,73,0.0001249275400226,0.000136269793923346,0.000114497589351389,27.4230363214286,0.0089794,8.9794,28.7107638285714,5.00675
"Banteay Meanchey",2002,19,2007,2002.69230769231,54,0.00014947340649822,0.000162400545366994,0.000137537672619049,26.8481177071429,0.0137442357142857,13.7442357142857,29.1757264428572,8.14029285714286
"Banteay Meanchey",2002,2,2007,2002.03846153846,2,6.57836446664664e-05,7.43347222899787e-05,5.80047561315414e-05,27.3362393071429,4.28731809062714e-05,0.0428731809062714,28.2662717928571,8.9794
"Banteay Meanchey",2002,20,2007,2002.73076923077,60,0.00011705475244982,0.000127270572893339,0.000107626179363918,27.81774955,0.00604385714285714,6.04385714285714,28.8497108142857,13.7442357142857
"Banteay Meanchey",2002,21,2007,2002.76923076923,42,0.000109252517449814,0.000118867736733419,0.000100374147897014,27.5421394285714,0.00107688910338808,1.07688910338808,28.3680230142858,0.0428731809062714
"Banteay Meanchey",2002,22,2007,2002.80769230769,21,0.000108634916946224,0.000118310410010869,9.96974310674051e-05,27.1151966,0.00549399778970714,5.49399778970714,27.9065549714286,6.04385714285714
"Banteay Meanchey",2002,23,2007,2002.84615384615,18,4.92181504201248e-05,5.46965534503357e-05,4.42151103990517e-05,27.1526943785715,0.00170443070925214,1.70443070925214,26.8491930642857,1.07688910338808
"Banteay Meanchey",2002,24,2007,2002.88461538462,10,0.000126530504865286,0.000138428744487827,0.00011550904018995,27.3448946642857,0.00116515,1.16515,27.4230363214286,5.49399778970714
"Banteay Meanchey",2002,25,2007,2002.92307692308,10,8.31640433741335e-05,9.17440518136959e-05,7.52691476734409e-05,27.6795767857143,0.000917714796099357,0.917714796099357,26.8481177071429,1.70443070925214
"Banteay Meanchey",2002,26,2007,2002.96153846154,3,8.70213441712185e-05,9.77920000621003e-05,7.71932083409253e-05,27.93685544,0.000225382696366667,0.225382696366667,27.3362393071429,1.16515
"Banteay Meanchey",2002,3,2007,2002.07692307692,2,6.76937804589956e-05,7.69177584249051e-05,5.93214668375027e-05,27.4461387142857,0.00014447334807445,0.14447334807445,27.81774955,0.917714796099357
"Banteay Meanchey",2002,4,2007,2002.11538461538,2,0.000185905061950795,0.000202999292668886,0.000169996847632494,28.6580001642857,9.7668448301e-05,0.097668448301,27.5421394285714,0.225382696366667
