"provname","epiyr","biweek","time","cases","year","beta","betahigh","betalow"
"national",2007,1,2002,38,2002,8.78002501325074e-07,9.19194414452719e-07,8.38634110285863e-07
"national",2007,2,2002.03846153846,59,2002,8.25760707310483e-07,8.64045321349512e-07,7.8914912272123e-07
"national",2007,3,2002.07692307692,51,2002,1.01724454148256e-06,1.06328651012705e-06,9.73167485644908e-07
"national",2007,4,2002.11538461538,58,2002,1.20762928661905e-06,1.26110226893687e-06,1.1564010399012e-06
"national",2007,5,2002.15384615385,76,2002,1.19952560164891e-06,1.25311708228863e-06,1.14820946286591e-06
"national",2007,6,2002.19230769231,109,2002,1.14090216791615e-06,1.19260131963637e-06,1.09143081628434e-06
"national",2007,7,2002.23076923077,140,2002,1.211251985544e-06,1.26643033635741e-06,1.15846610065815e-06
"national",2007,8,2002.26923076923,129,2002,1.4943716287282e-06,1.56326971889779e-06,1.42849504646739e-06
"national",2007,9,2002.30769230769,176,2002,1.67874343977484e-06,1.75837774338442e-06,1.60270285268425e-06
"national",2007,10,2002.34615384615,395,2002,1.73145406257236e-06,1.81709252130255e-06,1.64984147972918e-06
"national",2007,11,2002.38461538462,635,2002,1.48251252176962e-06,1.5591362877846e-06,1.40964706140911e-06
"national",2007,12,2002.42307692308,568,2002,1.4848486116263e-06,1.56363737040039e-06,1.41002110336976e-06
"national",2007,13,2002.46153846154,905,2002,1.57267085964918e-06,1.65778168555933e-06,1.49192239144894e-06
"national",2007,14,2002.5,1172,2002,1.44553323500489e-06,1.52574159321639e-06,1.36953511637336e-06
"national",2007,15,2002.53846153846,1083,2002,1.229300124091e-06,1.29848011208416e-06,1.16380073212237e-06
"national",2007,16,2002.57692307692,1114,2002,1.16435958702194e-06,1.22976174284053e-06,1.10242972453192e-06
"national",2007,17,2002.61538461538,908,2002,1.09549623796757e-06,1.1565214342235e-06,1.0376847491019e-06
"national",2007,18,2002.65384615385,996,2002,1.06980712538753e-06,1.12860461452102e-06,1.0140654442663e-06
"national",2007,19,2002.69230769231,861,2002,1.05482348729306e-06,1.11180475594837e-06,1.00075550825844e-06
"national",2007,20,2002.73076923077,640,2002,9.66352881221332e-07,1.01780484591294e-06,9.17493892736019e-07
"national",2007,21,2002.76923076923,703,2002,9.66627235861689e-07,1.01677096457565e-06,9.1894966395774e-07
"national",2007,22,2002.80769230769,491,2002,9.42601368062471e-07,9.90389213918295e-07,8.97113464278587e-07
"national",2007,23,2002.84615384615,307,2002,1.00207936993142e-06,1.05189055824962e-06,9.54618706295912e-07
"national",2007,24,2002.88461538462,297,2002,9.42093239730293e-07,9.88471462169704e-07,8.97881378627249e-07
"national",2007,25,2002.92307692308,274,2002,1.29111925971792e-06,1.35329423106011e-06,1.23178545439097e-06
"national",2007,26,2002.96153846154,256,2002,8.42265164446569e-07,8.82752603611226e-07,8.03620400688032e-07
"national",2007,1,2003,236,2003,8.78002501325074e-07,9.19194414452719e-07,8.38634110285863e-07
"national",2007,2,2003.03846153846,162,2003,8.25760707310483e-07,8.64045321349512e-07,7.8914912272123e-07
"national",2007,3,2003.07692307692,126,2003,1.01724454148256e-06,1.06328651012705e-06,9.73167485644908e-07
"national",2007,4,2003.11538461538,94,2003,1.20762928661905e-06,1.26110226893687e-06,1.1564010399012e-06
"national",2007,5,2003.15384615385,116,2003,1.19952560164891e-06,1.25311708228863e-06,1.14820946286591e-06
"national",2007,6,2003.19230769231,136,2003,1.14090216791615e-06,1.19260131963637e-06,1.09143081628434e-06
"national",2007,7,2003.23076923077,154,2003,1.211251985544e-06,1.26643033635741e-06,1.15846610065815e-06
"national",2007,8,2003.26923076923,244,2003,1.4943716287282e-06,1.56326971889779e-06,1.42849504646739e-06
"national",2007,9,2003.30769230769,268,2003,1.67874343977484e-06,1.75837774338442e-06,1.60270285268425e-06
"national",2007,10,2003.34615384615,362,2003,1.73145406257236e-06,1.81709252130255e-06,1.64984147972918e-06
"national",2007,11,2003.38461538462,529,2003,1.48251252176962e-06,1.5591362877846e-06,1.40964706140911e-06
"national",2007,12,2003.42307692308,915,2003,1.4848486116263e-06,1.56363737040039e-06,1.41002110336976e-06
"national",2007,13,2003.46153846154,931,2003,1.57267085964918e-06,1.65778168555933e-06,1.49192239144894e-06
"national",2007,14,2003.5,1169,2003,1.44553323500489e-06,1.52574159321639e-06,1.36953511637336e-06
"national",2007,15,2003.53846153846,1336,2003,1.229300124091e-06,1.29848011208416e-06,1.16380073212237e-06
"national",2007,16,2003.57692307692,1280,2003,1.16435958702194e-06,1.22976174284053e-06,1.10242972453192e-06
"national",2007,17,2003.61538461538,1147,2003,1.09549623796757e-06,1.1565214342235e-06,1.0376847491019e-06
"national",2007,18,2003.65384615385,674,2003,1.06980712538753e-06,1.12860461452102e-06,1.0140654442663e-06
"national",2007,19,2003.69230769231,540,2003,1.05482348729306e-06,1.11180475594837e-06,1.00075550825844e-06
"national",2007,20,2003.73076923077,457,2003,9.66352881221332e-07,1.01780484591294e-06,9.17493892736019e-07
"national",2007,21,2003.76923076923,327,2003,9.66627235861689e-07,1.01677096457565e-06,9.1894966395774e-07
"national",2007,22,2003.80769230769,281,2003,9.42601368062471e-07,9.90389213918295e-07,8.97113464278587e-07
"national",2007,23,2003.84615384615,184,2003,1.00207936993142e-06,1.05189055824962e-06,9.54618706295912e-07
"national",2007,24,2003.88461538462,196,2003,9.42093239730293e-07,9.88471462169704e-07,8.97881378627249e-07
"national",2007,25,2003.92307692308,120,2003,1.29111925971792e-06,1.35329423106011e-06,1.23178545439097e-06
"national",2007,26,2003.96153846154,97,2003,8.42265164446569e-07,8.82752603611226e-07,8.03620400688032e-07
"national",2007,1,2004,90,2004,8.78002501325074e-07,9.19194414452719e-07,8.38634110285863e-07
"national",2007,2,2004.03846153846,78,2004,8.25760707310483e-07,8.64045321349512e-07,7.8914912272123e-07
"national",2007,3,2004.07692307692,77,2004,1.01724454148256e-06,1.06328651012705e-06,9.73167485644908e-07
"national",2007,4,2004.11538461538,84,2004,1.20762928661905e-06,1.26110226893687e-06,1.1564010399012e-06
"national",2007,5,2004.15384615385,94,2004,1.19952560164891e-06,1.25311708228863e-06,1.14820946286591e-06
"national",2007,6,2004.19230769231,76,2004,1.14090216791615e-06,1.19260131963637e-06,1.09143081628434e-06
"national",2007,7,2004.23076923077,85,2004,1.211251985544e-06,1.26643033635741e-06,1.15846610065815e-06
"national",2007,8,2004.26923076923,72,2004,1.4943716287282e-06,1.56326971889779e-06,1.42849504646739e-06
"national",2007,9,2004.30769230769,149,2004,1.67874343977484e-06,1.75837774338442e-06,1.60270285268425e-06
"national",2007,10,2004.34615384615,244,2004,1.73145406257236e-06,1.81709252130255e-06,1.64984147972918e-06
"national",2007,11,2004.38461538462,484,2004,1.48251252176962e-06,1.5591362877846e-06,1.40964706140911e-06
"national",2007,12,2004.42307692308,565,2004,1.4848486116263e-06,1.56363737040039e-06,1.41002110336976e-06
"national",2007,13,2004.46153846154,828,2004,1.57267085964918e-06,1.65778168555933e-06,1.49192239144894e-06
"national",2007,14,2004.5,1067,2004,1.44553323500489e-06,1.52574159321639e-06,1.36953511637336e-06
"national",2007,15,2004.53846153846,1198,2004,1.229300124091e-06,1.29848011208416e-06,1.16380073212237e-06
"national",2007,16,2004.57692307692,895,2004,1.16435958702194e-06,1.22976174284053e-06,1.10242972453192e-06
"national",2007,17,2004.61538461538,825,2004,1.09549623796757e-06,1.1565214342235e-06,1.0376847491019e-06
"national",2007,18,2004.65384615385,692,2004,1.06980712538753e-06,1.12860461452102e-06,1.0140654442663e-06
"national",2007,19,2004.69230769231,597,2004,1.05482348729306e-06,1.11180475594837e-06,1.00075550825844e-06
"national",2007,20,2004.73076923077,469,2004,9.66352881221332e-07,1.01780484591294e-06,9.17493892736019e-07
"national",2007,21,2004.76923076923,376,2004,9.66627235861689e-07,1.01677096457565e-06,9.1894966395774e-07
"national",2007,22,2004.80769230769,296,2004,9.42601368062471e-07,9.90389213918295e-07,8.97113464278587e-07
"national",2007,23,2004.84615384615,223,2004,1.00207936993142e-06,1.05189055824962e-06,9.54618706295912e-07
"national",2007,24,2004.88461538462,153,2004,9.42093239730293e-07,9.88471462169704e-07,8.97881378627249e-07
"national",2007,25,2004.92307692308,126,2004,1.29111925971792e-06,1.35329423106011e-06,1.23178545439097e-06
"national",2007,26,2004.96153846154,140,2004,8.42265164446569e-07,8.82752603611226e-07,8.03620400688032e-07
"national",2007,1,2005,92,2005,8.78002501325074e-07,9.19194414452719e-07,8.38634110285863e-07
"national",2007,2,2005.03846153846,55,2005,8.25760707310483e-07,8.64045321349512e-07,7.8914912272123e-07
"national",2007,3,2005.07692307692,35,2005,1.01724454148256e-06,1.06328651012705e-06,9.73167485644908e-07
"national",2007,4,2005.11538461538,54,2005,1.20762928661905e-06,1.26110226893687e-06,1.1564010399012e-06
"national",2007,5,2005.15384615385,67,2005,1.19952560164891e-06,1.25311708228863e-06,1.14820946286591e-06
"national",2007,6,2005.19230769231,77,2005,1.14090216791615e-06,1.19260131963637e-06,1.09143081628434e-06
"national",2007,7,2005.23076923077,83,2005,1.211251985544e-06,1.26643033635741e-06,1.15846610065815e-06
"national",2007,8,2005.26923076923,83,2005,1.4943716287282e-06,1.56326971889779e-06,1.42849504646739e-06
"national",2007,9,2005.30769230769,106,2005,1.67874343977484e-06,1.75837774338442e-06,1.60270285268425e-06
"national",2007,10,2005.34615384615,180,2005,1.73145406257236e-06,1.81709252130255e-06,1.64984147972918e-06
"national",2007,11,2005.38461538462,312,2005,1.48251252176962e-06,1.5591362877846e-06,1.40964706140911e-06
"national",2007,12,2005.42307692308,397,2005,1.4848486116263e-06,1.56363737040039e-06,1.41002110336976e-06
"national",2007,13,2005.46153846154,552,2005,1.57267085964918e-06,1.65778168555933e-06,1.49192239144894e-06
"national",2007,14,2005.5,805,2005,1.44553323500489e-06,1.52574159321639e-06,1.36953511637336e-06
"national",2007,15,2005.53846153846,1195,2005,1.229300124091e-06,1.29848011208416e-06,1.16380073212237e-06
"national",2007,16,2005.57692307692,1036,2005,1.16435958702194e-06,1.22976174284053e-06,1.10242972453192e-06
"national",2007,17,2005.61538461538,883,2005,1.09549623796757e-06,1.1565214342235e-06,1.0376847491019e-06
"national",2007,18,2005.65384615385,694,2005,1.06980712538753e-06,1.12860461452102e-06,1.0140654442663e-06
"national",2007,19,2005.69230769231,581,2005,1.05482348729306e-06,1.11180475594837e-06,1.00075550825844e-06
"national",2007,20,2005.73076923077,437,2005,9.66352881221332e-07,1.01780484591294e-06,9.17493892736019e-07
"national",2007,21,2005.76923076923,344,2005,9.66627235861689e-07,1.01677096457565e-06,9.1894966395774e-07
"national",2007,22,2005.80769230769,311,2005,9.42601368062471e-07,9.90389213918295e-07,8.97113464278587e-07
"national",2007,23,2005.84615384615,267,2005,1.00207936993142e-06,1.05189055824962e-06,9.54618706295912e-07
"national",2007,24,2005.88461538462,164,2005,9.42093239730293e-07,9.88471462169704e-07,8.97881378627249e-07
"national",2007,25,2005.92307692308,114,2005,1.29111925971792e-06,1.35329423106011e-06,1.23178545439097e-06
"national",2007,26,2005.96153846154,116,2005,8.42265164446569e-07,8.82752603611226e-07,8.03620400688032e-07
"national",2007,1,2006,55,2006,8.78002501325074e-07,9.19194414452719e-07,8.38634110285863e-07
