"provname","epiyr","biweek","time","cases","year","beta","betahigh","betalow"
"national",2007,2,2006.03846153846,71,2006,8.25760707310483e-07,8.64045321349512e-07,7.8914912272123e-07
"national",2007,3,2006.07692307692,55,2006,1.01724454148256e-06,1.06328651012705e-06,9.73167485644908e-07
"national",2007,4,2006.11538461538,61,2006,1.20762928661905e-06,1.26110226893687e-06,1.1564010399012e-06
"national",2007,5,2006.15384615385,77,2006,1.19952560164891e-06,1.25311708228863e-06,1.14820946286591e-06
"national",2007,6,2006.19230769231,119,2006,1.14090216791615e-06,1.19260131963637e-06,1.09143081628434e-06
"national",2007,7,2006.23076923077,124,2006,1.211251985544e-06,1.26643033635741e-06,1.15846610065815e-06
"national",2007,8,2006.26923076923,172,2006,1.4943716287282e-06,1.56326971889779e-06,1.42849504646739e-06
"national",2007,9,2006.30769230769,315,2006,1.67874343977484e-06,1.75837774338442e-06,1.60270285268425e-06
"national",2007,10,2006.34615384615,427,2006,1.73145406257236e-06,1.81709252130255e-06,1.64984147972918e-06
"national",2007,11,2006.38461538462,572,2006,1.48251252176962e-06,1.5591362877846e-06,1.40964706140911e-06
"national",2007,12,2006.42307692308,829,2006,1.4848486116263e-06,1.56363737040039e-06,1.41002110336976e-06
"national",2007,13,2006.46153846154,903,2006,1.57267085964918e-06,1.65778168555933e-06,1.49192239144894e-06
"national",2007,14,2006.5,1145,2006,1.44553323500489e-06,1.52574159321639e-06,1.36953511637336e-06
"national",2007,15,2006.53846153846,1391,2006,1.229300124091e-06,1.29848011208416e-06,1.16380073212237e-06
"national",2007,16,2006.57692307692,1639,2006,1.16435958702194e-06,1.22976174284053e-06,1.10242972453192e-06
"national",2007,17,2006.61538461538,1623,2006,1.09549623796757e-06,1.1565214342235e-06,1.0376847491019e-06
"national",2007,18,2006.65384615385,1509,2006,1.06980712538753e-06,1.12860461452102e-06,1.0140654442663e-06
"national",2007,19,2006.69230769231,1225,2006,1.05482348729306e-06,1.11180475594837e-06,1.00075550825844e-06
"national",2007,20,2006.73076923077,1156,2006,9.66352881221332e-07,1.01780484591294e-06,9.17493892736019e-07
"national",2007,21,2006.76923076923,675,2006,9.66627235861689e-07,1.01677096457565e-06,9.1894966395774e-07
"national",2007,22,2006.80769230769,532,2006,9.42601368062471e-07,9.90389213918295e-07,8.97113464278587e-07
"national",2007,23,2006.84615384615,523,2006,1.00207936993142e-06,1.05189055824962e-06,9.54618706295912e-07
"national",2007,24,2006.88461538462,474,2006,9.42093239730293e-07,9.88471462169704e-07,8.97881378627249e-07
"national",2007,25,2006.92307692308,408,2006,1.29111925971792e-06,1.35329423106011e-06,1.23178545439097e-06
"national",2007,26,2006.96153846154,570,2006,8.42265164446569e-07,8.82752603611226e-07,8.03620400688032e-07
"national",2007,1,2007,188,2007,8.78002501325074e-07,9.19194414452719e-07,8.38634110285863e-07
"national",2007,2,2007.03846153846,334,2007,8.25760707310483e-07,8.64045321349512e-07,7.8914912272123e-07
"national",2007,3,2007.07692307692,267,2007,1.01724454148256e-06,1.06328651012705e-06,9.73167485644908e-07
"national",2007,4,2007.11538461538,175,2007,1.20762928661905e-06,1.26110226893687e-06,1.1564010399012e-06
"national",2007,5,2007.15384615385,253,2007,1.19952560164891e-06,1.25311708228863e-06,1.14820946286591e-06
"national",2007,6,2007.19230769231,282,2007,1.14090216791615e-06,1.19260131963637e-06,1.09143081628434e-06
"national",2007,7,2007.23076923077,405,2007,1.211251985544e-06,1.26643033635741e-06,1.15846610065815e-06
"national",2007,8,2007.26923076923,582,2007,1.4943716287282e-06,1.56326971889779e-06,1.42849504646739e-06
"national",2007,9,2007.30769230769,1169,2007,1.67874343977484e-06,1.75837774338442e-06,1.60270285268425e-06
"national",2007,10,2007.34615384615,1729,2007,1.73145406257236e-06,1.81709252130255e-06,1.64984147972918e-06
"national",2007,11,2007.38461538462,2657,2007,1.48251252176962e-06,1.5591362877846e-06,1.40964706140911e-06
"national",2007,12,2007.42307692308,4826,2007,1.4848486116263e-06,1.56363737040039e-06,1.41002110336976e-06
"national",2007,13,2007.46153846154,5501,2007,1.57267085964918e-06,1.65778168555933e-06,1.49192239144894e-06
"national",2007,14,2007.5,5627,2007,1.44553323500489e-06,1.52574159321639e-06,1.36953511637336e-06
"national",2007,15,2007.53846153846,4638,2007,1.229300124091e-06,1.29848011208416e-06,1.16380073212237e-06
"national",2007,16,2007.57692307692,3726,2007,1.16435958702194e-06,1.22976174284053e-06,1.10242972453192e-06
"national",2007,17,2007.61538461538,2489,2007,1.09549623796757e-06,1.1565214342235e-06,1.0376847491019e-06
"national",2007,18,2007.65384615385,1756,2007,1.06980712538753e-06,1.12860461452102e-06,1.0140654442663e-06
"national",2007,19,2007.69230769231,1112,2007,1.05482348729306e-06,1.11180475594837e-06,1.00075550825844e-06
"national",2007,20,2007.73076923077,807,2007,9.66352881221332e-07,1.01780484591294e-06,9.17493892736019e-07
"national",2007,21,2007.76923076923,371,2007,9.66627235861689e-07,1.01677096457565e-06,9.1894966395774e-07
"national",2007,22,2007.80769230769,352,2007,9.42601368062471e-07,9.90389213918295e-07,8.97113464278587e-07
"national",2007,23,2007.84615384615,214,2007,1.00207936993142e-06,1.05189055824962e-06,9.54618706295912e-07
"national",2007,24,2007.88461538462,172,2007,9.42093239730293e-07,9.88471462169704e-07,8.97881378627249e-07
"national",2007,25,2007.92307692308,100,2007,1.29111925971792e-06,1.35329423106011e-06,1.23178545439097e-06
"national",2007,26,2007.96153846154,119,2007,8.42265164446569e-07,8.82752603611226e-07,8.03620400688032e-07
"national",2012,1,2008,58,2008,4.64747889129841e-06,4.87947429820817e-06,4.4262270532851e-06
"national",2012,2,2008.03846153846,51,2008,4.30798186091561e-06,4.51841940395325e-06,4.10701769412882e-06
"national",2012,3,2008.07692307692,46,2008,5.26160107027342e-06,5.51131377259037e-06,5.02282624748834e-06
"national",2012,4,2008.11538461538,42,2008,6.34533634428577e-06,6.63841648447531e-06,6.06486859719509e-06
"national",2012,5,2008.15384615385,45,2008,6.09068377582006e-06,6.37522758398585e-06,5.8185752780824e-06
"national",2012,6,2008.19230769231,64,2008,5.48490801082405e-06,5.74555600566255e-06,5.23585040909267e-06
"national",2012,7,2008.23076923077,65,2008,6.15432790641088e-06,6.4420353062358e-06,5.87925995440689e-06
"national",2012,8,2008.26923076923,99,2008,8.70396403564215e-06,9.10713194657696e-06,8.31839818558098e-06
"national",2012,9,2008.30769230769,170,2008,8.82845832717577e-06,9.25197759411484e-06,8.42411100082376e-06
"national",2012,10,2008.34615384615,251,2008,1.09641971926207e-05,1.15085377183507e-05,1.04453348162491e-05
"national",2012,11,2008.38461538462,363,2008,1.04477308447764e-05,1.09946909511223e-05,9.92774152254617e-06
"national",2012,12,2008.42307692308,557,2008,1.04017090599461e-05,1.09698221822994e-05,9.86276613382653e-06
"national",2012,13,2008.46153846154,697,2008,9.3841493761996e-06,9.91394405742232e-06,8.88242963404574e-06
"national",2012,14,2008.5,674,2008,9.38778656169053e-06,9.92519892940412e-06,8.87924185069016e-06
"national",2012,15,2008.53846153846,658,2008,9.349873276871e-06,9.89138806281296e-06,8.83776604675345e-06
"national",2012,16,2008.57692307692,795,2008,8.61861429117212e-06,9.12113303101348e-06,8.14355757932735e-06
"national",2012,17,2008.61538461538,666,2008,8.65208032374721e-06,9.15380679979868e-06,8.17762889459015e-06
"national",2012,18,2008.65384615385,574,2008,8.22132403347405e-06,8.69489768206121e-06,7.77332981477007e-06
"national",2012,19,2008.69230769231,715,2008,7.02921456852972e-06,7.42888372138797e-06,6.65087011800277e-06
"national",2012,20,2008.73076923077,605,2008,6.96640217592822e-06,7.35243159356617e-06,6.60046560168002e-06
"national",2012,21,2008.76923076923,540,2008,7.55823232372803e-06,7.96575388790474e-06,7.17139083568721e-06
"national",2012,22,2008.80769230769,523,2008,6.00653496086342e-06,6.32799172335408e-06,5.70127313075277e-06
"national",2012,23,2008.84615384615,410,2008,5.94411820349498e-06,6.25337563193856e-06,5.65001990963156e-06
"national",2012,24,2008.88461538462,401,2008,5.37674551723084e-06,5.65193852522482e-06,5.11481167961566e-06
"national",2012,25,2008.92307692308,256,2008,6.76921433026847e-06,7.10320214449445e-06,6.45076905027468e-06
"national",2012,26,2008.96153846154,219,2008,3.4011941719963e-06,3.57812114881231e-06,3.23283314216989e-06
"national",2012,1,2009,121,2009,4.64747889129841e-06,4.87947429820817e-06,4.4262270532851e-06
"national",2012,2,2009.03846153846,48,2009,4.30798186091561e-06,4.51841940395325e-06,4.10701769412882e-06
"national",2012,3,2009.07692307692,53,2009,5.26160107027342e-06,5.51131377259037e-06,5.02282624748834e-06
"national",2012,4,2009.11538461538,68,2009,6.34533634428577e-06,6.63841648447531e-06,6.06486859719509e-06
"national",2012,5,2009.15384615385,105,2009,6.09068377582006e-06,6.37522758398585e-06,5.8185752780824e-06
"national",2012,6,2009.19230769231,115,2009,5.48490801082405e-06,5.74555600566255e-06,5.23585040909267e-06
"national",2012,7,2009.23076923077,123,2009,6.15432790641088e-06,6.4420353062358e-06,5.87925995440689e-06
"national",2012,8,2009.26923076923,174,2009,8.70396403564215e-06,9.10713194657696e-06,8.31839818558098e-06
"national",2012,9,2009.30769230769,256,2009,8.82845832717577e-06,9.25197759411484e-06,8.42411100082376e-06
"national",2012,10,2009.34615384615,397,2009,1.09641971926207e-05,1.15085377183507e-05,1.04453348162491e-05
"national",2012,11,2009.38461538462,611,2009,1.04477308447764e-05,1.09946909511223e-05,9.92774152254617e-06
"national",2012,12,2009.42307692308,818,2009,1.04017090599461e-05,1.09698221822994e-05,9.86276613382653e-06
"national",2012,13,2009.46153846154,1104,2009,9.3841493761996e-06,9.91394405742232e-06,8.88242963404574e-06
"national",2012,14,2009.5,1203,2009,9.38778656169053e-06,9.92519892940412e-06,8.87924185069016e-06
"national",2012,15,2009.53846153846,1151,2009,9.349873276871e-06,9.89138806281296e-06,8.83776604675345e-06
"national",2012,16,2009.57692307692,917,2009,8.61861429117212e-06,9.12113303101348e-06,8.14355757932735e-06
"national",2012,17,2009.61538461538,956,2009,8.65208032374721e-06,9.15380679979868e-06,8.17762889459015e-06
"national",2012,18,2009.65384615385,957,2009,8.22132403347405e-06,8.69489768206121e-06,7.77332981477007e-06
"national",2012,19,2009.69230769231,642,2009,7.02921456852972e-06,7.42888372138797e-06,6.65087011800277e-06
"national",2012,20,2009.73076923077,382,2009,6.96640217592822e-06,7.35243159356617e-06,6.60046560168002e-06
"national",2012,21,2009.76923076923,419,2009,7.55823232372803e-06,7.96575388790474e-06,7.17139083568721e-06
"national",2012,22,2009.80769230769,392,2009,6.00653496086342e-06,6.32799172335408e-06,5.70127313075277e-06
"national",2012,23,2009.84615384615,273,2009,5.94411820349498e-06,6.25337563193856e-06,5.65001990963156e-06
"national",2012,24,2009.88461538462,162,2009,5.37674551723084e-06,5.65193852522482e-06,5.11481167961566e-06
"national",2012,25,2009.92307692308,147,2009,6.76921433026847e-06,7.10320214449445e-06,6.45076905027468e-06
"national",2012,26,2009.96153846154,105,2009,3.4011941719963e-06,3.57812114881231e-06,3.23283314216989e-06
"national",2012,1,2010,123,2010,4.64747889129841e-06,4.87947429820817e-06,4.4262270532851e-06
"national",2012,2,2010.03846153846,67,2010,4.30798186091561e-06,4.51841940395325e-06,4.10701769412882e-06
"national",2012,3,2010.07692307692,45,2010,5.26160107027342e-06,5.51131377259037e-06,5.02282624748834e-06
"national",2012,4,2010.11538461538,48,2010,6.34533634428577e-06,6.63841648447531e-06,6.06486859719509e-06
"national",2012,5,2010.15384615385,78,2010,6.09068377582006e-06,6.37522758398585e-06,5.8185752780824e-06
"national",2012,6,2010.19230769231,111,2010,5.48490801082405e-06,5.74555600566255e-06,5.23585040909267e-06
"national",2012,7,2010.23076923077,80,2010,6.15432790641088e-06,6.4420353062358e-06,5.87925995440689e-06
"national",2012,8,2010.26923076923,65,2010,8.70396403564215e-06,9.10713194657696e-06,8.31839818558098e-06
"national",2012,9,2010.30769230769,103,2010,8.82845832717577e-06,9.25197759411484e-06,8.42411100082376e-06
"national",2012,10,2010.34615384615,129,2010,1.09641971926207e-05,1.15085377183507e-05,1.04453348162491e-05
"national",2012,11,2010.38461538462,303,2010,1.04477308447764e-05,1.09946909511223e-05,9.92774152254617e-06
"national",2012,12,2010.42307692308,386,2010,1.04017090599461e-05,1.09698221822994e-05,9.86276613382653e-06
"national",2012,13,2010.46153846154,564,2010,9.3841493761996e-06,9.91394405742232e-06,8.88242963404574e-06
"national",2012,14,2010.5,939,2010,9.38778656169053e-06,9.92519892940412e-06,8.87924185069016e-06
"national",2012,15,2010.53846153846,1251,2010,9.349873276871e-06,9.89138806281296e-06,8.83776604675345e-06
"national",2012,16,2010.57692307692,1636,2010,8.61861429117212e-06,9.12113303101348e-06,8.14355757932735e-06
"national",2012,17,2010.61538461538,1516,2010,8.65208032374721e-06,9.15380679979868e-06,8.17762889459015e-06
"national",2012,18,2010.65384615385,1306,2010,8.22132403347405e-06,8.69489768206121e-06,7.77332981477007e-06
"national",2012,19,2010.69230769231,1072,2010,7.02921456852972e-06,7.42888372138797e-06,6.65087011800277e-06
"national",2012,20,2010.73076923077,890,2010,6.96640217592822e-06,7.35243159356617e-06,6.60046560168002e-06
"national",2012,21,2010.76923076923,604,2010,7.55823232372803e-06,7.96575388790474e-06,7.17139083568721e-06
"national",2012,22,2010.80769230769,436,2010,6.00653496086342e-06,6.32799172335408e-06,5.70127313075277e-06
"national",2012,23,2010.84615384615,289,2010,5.94411820349498e-06,6.25337563193856e-06,5.65001990963156e-06
"national",2012,24,2010.88461538462,185,2010,5.37674551723084e-06,5.65193852522482e-06,5.11481167961566e-06
"national",2012,25,2010.92307692308,143,2010,6.76921433026847e-06,7.10320214449445e-06,6.45076905027468e-06
"national",2012,26,2010.96153846154,131,2010,3.4011941719963e-06,3.57812114881231e-06,3.23283314216989e-06
"national",2012,1,2011,2,2011,4.64747889129841e-06,4.87947429820817e-06,4.4262270532851e-06
"national",2012,2,2011.03846153846,75,2011,4.30798186091561e-06,4.51841940395325e-06,4.10701769412882e-06
"national",2012,3,2011.07692307692,55,2011,5.26160107027342e-06,5.51131377259037e-06,5.02282624748834e-06
"national",2012,4,2011.11538461538,53,2011,6.34533634428577e-06,6.63841648447531e-06,6.06486859719509e-06
"national",2012,5,2011.15384615385,43,2011,6.09068377582006e-06,6.37522758398585e-06,5.8185752780824e-06
"national",2012,6,2011.19230769231,31,2011,5.48490801082405e-06,5.74555600566255e-06,5.23585040909267e-06
"national",2012,7,2011.23076923077,65,2011,6.15432790641088e-06,6.4420353062358e-06,5.87925995440689e-06
"national",2012,8,2011.26923076923,57,2011,8.70396403564215e-06,9.10713194657696e-06,8.31839818558098e-06
"national",2012,9,2011.30769230769,109,2011,8.82845832717577e-06,9.25197759411484e-06,8.42411100082376e-06
"national",2012,10,2011.34615384615,192,2011,1.09641971926207e-05,1.15085377183507e-05,1.04453348162491e-05
"national",2012,11,2011.38461538462,422,2011,1.04477308447764e-05,1.09946909511223e-05,9.92774152254617e-06
"national",2012,12,2011.42307692308,832,2011,1.04017090599461e-05,1.09698221822994e-05,9.86276613382653e-06
"national",2012,13,2011.46153846154,1250,2011,9.3841493761996e-06,9.91394405742232e-06,8.88242963404574e-06
"national",2012,14,2011.5,1393,2011,9.38778656169053e-06,9.92519892940412e-06,8.87924185069016e-06
"national",2012,15,2011.53846153846,1643,2011,9.349873276871e-06,9.89138806281296e-06,8.83776604675345e-06
"national",2012,16,2011.57692307692,1657,2011,8.61861429117212e-06,9.12113303101348e-06,8.14355757932735e-06
"national",2012,17,2011.61538461538,1584,2011,8.65208032374721e-06,9.15380679979868e-06,8.17762889459015e-06
"national",2012,18,2011.65384615385,1552,2011,8.22132403347405e-06,8.69489768206121e-06,7.77332981477007e-06
"national",2012,19,2011.69230769231,1390,2011,7.02921456852972e-06,7.42888372138797e-06,6.65087011800277e-06
"national",2012,20,2011.73076923077,984,2011,6.96640217592822e-06,7.35243159356617e-06,6.60046560168002e-06
"national",2012,21,2011.76923076923,655,2011,7.55823232372803e-06,7.96575388790474e-06,7.17139083568721e-06
"national",2012,22,2011.80769230769,620,2011,6.00653496086342e-06,6.32799172335408e-06,5.70127313075277e-06
"national",2012,23,2011.84615384615,447,2011,5.94411820349498e-06,6.25337563193856e-06,5.65001990963156e-06
"national",2012,24,2011.88461538462,331,2011,5.37674551723084e-06,5.65193852522482e-06,5.11481167961566e-06
