"year","month","provname","time","cases_per_1000","oni_anomaly","avg_wave_coherence_oni","avg_cross_power_oni"
2002,1,"Banteay Meanchey",2002,0.0095508889087126,-0.15,0.917727593772793,0.260681926813267
2002,2,"Banteay Meanchey",2002.11538461538,0.0285930867966452,0.03,0.917674146932255,0.267700959098054
2002,3,"Banteay Meanchey",2002.19230769231,0.0777471660361727,0.09,0.917621424263107,0.274859310590984
2002,4,"Banteay Meanchey",2002.26923076923,0.0617712034404738,0.2,0.917569404432321,0.278746159925439
2002,5,"Banteay Meanchey",2002.34615384615,0.208840444980157,0.43,0.917518066953385,0.28610464963573
2002,6,"Banteay Meanchey",2002.42307692308,0.276423630027504,0.65,0.917467392199649,0.293606258703152
2002,7,"Banteay Meanchey",2002.5,0.353388674971725,0.79,0.917417361416387,0.299955413833407
2002,8,"Banteay Meanchey",2002.57692307692,0.258381760195045,0.86,0.917367956731473,0.307772896778175
2002,9,"Banteay Meanchey",2002.65384615385,0.199793760528189,1.01,0.917319161164576,0.314286755834873
2002,10,"Banteay Meanchey",2002.73076923077,0.160237398203077,1.21,0.91727095863478,0.322431373621244
2002,11,"Banteay Meanchey",2002.80769230769,0.0611779884982077,1.31,0.91722333396655,0.330731911366128
2002,12,"Banteay Meanchey",2002.88461538462,0.0360221354497469,1.14,0.917176272893954,0.337598027722184
2003,1,"Banteay Meanchey",2003,0.0593824189632859,0.92,0.91712976206306,0.478225336627747
2003,2,"Banteay Meanchey",2003.11538461538,0.0202772675612695,0.63,0.917083789032444,0.520684358200842
2003,3,"Banteay Meanchey",2003.19230769231,0.0482918505064965,0.38,0.917038342271732,0.560304055679801
2003,4,"Banteay Meanchey",2003.26923076923,0.0933625270377289,-0.04,0.916993411158113,0.586060250559858
2003,5,"Banteay Meanchey",2003.34615384615,0.183330110407127,-0.26,0.916948985970778,0.621146846095214
2003,6,"Banteay Meanchey",2003.42307692308,0.342930678572013,-0.16,0.916905057883211,0.64191984790162
2003,7,"Banteay Meanchey",2003.5,0.444760457198592,0.08,0.916861618953318,0.678877824766613
2003,8,"Banteay Meanchey",2003.57692307692,0.289424636470543,0.21,0.916818662111324,0.694496874541027
2003,9,"Banteay Meanchey",2003.65384615385,0.151472637546986,0.26,0.916776181145432,0.730314207031427
2003,10,"Banteay Meanchey",2003.73076923077,0.121948020879815,0.29,0.916734170685206,0.755782318001524
