"year","lambda","N_sero","llik","convergence","lambda_min","lambda_max","lci","uci"
1981,1.00266518066476e-05,2,77653.2304146566,0,1e-06,1,1e-06,0.999001
1982,0.00107168453849628,2,77653.2304146566,0,1e-06,1,1e-06,0.678001
1983,0.203580327214874,2,77653.2304146566,0,1e-06,1,1e-06,0.626001
1984,1.10656741733848e-06,2,77653.2304146566,0,1e-06,1,1e-06,0.337001
1985,0.920680151347838,2,77653.2304146566,0,1e-06,1,0.714001,0.999001
1986,0.0890610698772347,2,77653.2304146566,0,1e-06,1,1e-06,0.204001
1987,0.117659560523244,2,77653.2304146566,0,1e-06,1,0.041001,0.198001
1988,0.208639144810092,2,77653.2304146566,0,1e-06,1,0.149001,0.271001
1989,0.378125109376929,2,77653.2304146566,0,1e-06,1,0.331001,0.427001
1990,0.437528530371869,2,77653.2304146566,0,1e-06,1,0.403001,0.473001
1991,0.319466017525824,2,77653.2304146566,0,1e-06,1,0.296001,0.343001
1992,0.220752748179713,2,77653.2304146566,0,1e-06,1,0.205001,0.237001
1993,0.21856391871302,2,77653.2304146566,0,1e-06,1,0.207001,0.230001
1994,0.214500382086041,2,77653.2304146566,0,1e-06,1,0.206001,0.223001
1995,0.182344132726087,2,77653.2304146566,0,1e-06,1,0.176001,0.189001
1996,0.151258201554567,2,77653.2304146566,0,1e-06,1,0.146001,0.156001
1997,0.147050300252276,2,77653.2304146566,0,1e-06,1,0.143001,0.151001
1998,0.123591791769327,2,77653.2304146566,0,1e-06,1,0.120001,0.127001
1999,0.10929027724899,2,77653.2304146566,0,1e-06,1,0.107001,0.112001
2000,0.0913628611460199,2,77653.2304146566,0,1e-06,1,0.089001,0.093001
2001,0.049760002447578,2,77653.2304146566,0,1e-06,1,0.048001,0.051001
2002,0.0808189841498894,2,77653.2304146566,0,1e-06,1,0.079001,0.082001
2003,0.110201879113541,2,77653.2304146566,0,1e-06,1,0.109001,0.112001
2004,0.112009864185409,2,77653.2304146566,0,1e-06,1,0.111001,0.113001
2005,0.0903905682041308,2,77653.2304146566,0,1e-06,1,0.089001,0.092001
2006,0.0612459467618668,2,77653.2304146566,0,1e-06,1,0.060001,0.062001
2007,0.115978272557807,2,77653.2304146566,0,1e-06,1,0.115001,0.117001
2008,0.105349696703831,2,77653.2304146566,0,1e-06,1,0.104001,0.107001
2009,0.0907437833906742,2,77653.2304146566,0,1e-06,1,0.090001,0.092001
2010,0.0806219745932752,2,77653.2304146566,0,1e-06,1,0.080001,0.082001
2011,0.0462382320455885,2,77653.2304146566,0,1e-06,1,0.046001,0.047001
2012,0.0723055372781492,2,77653.2304146566,0,1e-06,1,0.071001,0.073001
2013,0.0744865609415725,2,77653.2304146566,0,1e-06,1,0.074001,0.075001
2014,0.0366110386826805,2,77653.2304146566,0,1e-06,1,0.036001,0.037001
2015,0.0410569615322411,2,77653.2304146566,0,1e-06,1,0.040001,0.042001
2016,0.0387828310695166,2,77653.2304146566,0,1e-06,1,0.038001,0.039001
2017,0.0294100073209131,2,77653.2304146566,0,1e-06,1,0.029001,0.030001
2018,0.0382536918880266,2,77653.2304146566,0,1e-06,1,0.038001,0.039001
2019,0.0673802770568784,2,77653.2304146566,0,1e-06,1,0.066001,0.069001
2020,0.0701320286681626,2,77653.2304146566,0,1e-06,1,0.066001,0.074001
