province,year,type,Jan,Feb,Mar,Apr,May,June,Jul,Aug,Sep,Oct,Nov,Dec
StungTreng,"2,016",cases,1,3,0,0,2,10,7,3,5,2,2,1
SvayRieng,"2,016",cases,2,0,0,1,2,17,18,21,15,11,6,1
Takeo,"2,016",cases,11,2,4,3,5,14,41,42,18,28,16,4
O.Meanchey,"2,016",cases,12,9,5,10,7,16,28,49,35,25,12,6
Kep,"2,016",cases,0,1,1,0,0,2,0,0,1,0,0,0
Paillin,"2,016",cases,4,2,1,0,0,1,1,5,1,2,2,2
Tboung Khmum,"2,016",cases,5,4,8,3,7,14,40,44,18,20,10,6
B.Meanchey,"2,017",cases,12,4,7,8,15,66,95,117,92,67,35,22
Battambang,"2,017",cases,3,1,3,4,8,32,48,33,55,35,24,9
Kampong Cham,"2,017",cases,8,6,3,4,9,48,68,47,18,25,29,30
Kg.Chhnang,"2,017",cases,5,2,4,12,16,27,34,21,10,9,7,10
KampongSpeu,"2,017",cases,10,5,13,26,50,81,64,59,46,34,16,23
KampongThom,"2,017",cases,4,3,3,2,16,47,60,48,42,15,16,13
Kampot,"2,017",cases,2,1,1,2,3,15,7,9,10,14,11,5
Kandal,"2,017",cases,31,12,22,14,47,150,151,132,76,112,57,62
Koh Kong,"2,017",cases,4,0,2,2,2,5,3,2,1,0,1,1
Kratie,"2,017",cases,2,0,1,3,4,5,3,1,0,0,3,2
MondulKiri,"2,017",cases,0,0,0,0,0,1,0,0,0,0,0,1
Phnom Penh,"2,017",cases,100,54,44,27,48,131,162,171,192,284,306,363
PreahVihear,"2,017",cases,1,1,2,5,13,26,19,16,1,1,2,2
PreyVeng,"2,017",cases,9,11,7,6,22,34,33,33,33,44,21,32
Pursat,"2,017",cases,1,0,0,1,2,0,3,5,2,5,6,4
RattanaKiri,"2,017",cases,0,0,1,0,0,1,1,1,0,1,2,0
Siem Reap,"2,017",cases,15,12,13,19,35,79,164,156,95,73,25,19
K.Pr.Sihaknouk,"2,017",cases,0,0,3,8,3,3,4,2,3,1,6,9
StungTreng,"2,017",cases,0,2,0,0,1,5,3,0,1,1,1,2
SvayRieng,"2,017",cases,2,3,1,2,3,3,7,6,2,6,8,2
Takeo,"2,017",cases,6,10,6,4,11,11,9,19,12,13,13,17
O.Meanchey,"2,017",cases,2,2,1,1,6,10,35,12,10,6,3,1
Kep,"2,017",cases,1,0,0,1,0,2,0,3,4,3,0,0
Paillin,"2,017",cases,1,0,0,0,1,0,0,0,0,3,0,1
Tboung Khmum,"2,017",cases,5,1,4,1,5,15,16,12,8,5,13,9
B.Meanchey,"2,018",cases,4,8,12,13,36,86,112,100,119,126,97,70
Battambang,"2,018",cases,5,3,6,8,18,46,70,77,81,71,66,64
Kampong Cham,"2,018",cases,21,14,23,33,76,162,146,159,154,98,113,57
Kg.Chhnang,"2,018",cases,7,5,8,25,124,246,260,124,70,42,30,49
KampongSpeu,"2,018",cases,9,9,8,22,38,67,123,94,98,103,89,68
KampongThom,"2,018",cases,6,8,29,19,63,201,224,181,82,72,84,86
Kampot,"2,018",cases,5,3,5,8,26,46,52,70,40,40,58,24
Kandal,"2,018",cases,43,39,53,67,121,294,570,643,479,397,444,337
Koh Kong,"2,018",cases,0,4,0,4,9,5,6,7,3,4,3,6
Kratie,"2,018",cases,3,0,2,21,44,44,60,48,29,11,9,13
MondulKiri,"2,018",cases,0,0,0,0,0,5,0,9,3,2,1,2
Phnom Penh,"2,018",cases,283,166,174,168,246,664,1309,"1,448","1,202","1,260","1,409","1,115"
PreahVihear,"2,018",cases,1,2,2,3,26,90,116,68,50,29,24,24
PreyVeng,"2,018",cases,32,19,18,20,40,86,145,176,131,90,103,79
Pursat,"2,018",cases,1,2,3,0,5,7,24,33,28,22,18,22
RattanaKiri,"2,018",cases,2,0,0,1,2,4,6,8,4,4,3,1
Siem Reap,"2,018",cases,13,16,26,27,88,237,428,472,433,329,249,149
K.Pr.Sihaknouk,"2,018",cases,7,11,7,6,20,13,19,24,14,21,30,31
StungTreng,"2,018",cases,1,0,2,0,1,3,6,4,1,2,2,1
SvayRieng,"2,018",cases,3,1,1,2,9,22,44,43,42,27,33,23
Takeo,"2,018",cases,6,10,5,8,14,30,77,67,62,63,49,41
O.Meanchey,"2,018",cases,0,2,5,11,33,78,95,69,28,31,33,31
Kep,"2,018",cases,0,1,2,2,7,6,5,2,3,2,0,1
Paillin,"2,018",cases,0,0,0,0,1,11,15,16,7,6,24,6
Tboung Khmum,"2,018",cases,9,6,7,17,29,59,55,63,43,28,45,43
B.Meanchey,"2,019",cases,35,64,81,159,382,1090,1332,861,381,332,176,65
Battambang,"2,019",cases,49,62,95,170,476,931,967,527,164,156,75,26
Kampong Cham,"2,019",cases,106,86,147,314,387,938,875,487,132,118,75,43
Kg.Chhnang,"2,019",cases,54,27,49,86,206,650,731,290,88,48,13,7
KampongSpeu,"2,019",cases,53,39,88,125,214,534,680,622,251,198,107,51
KampongThom,"2,019",cases,135,225,317,469,776,1498,1676,677,180,113,55,37
Kampot,"2,019",cases,26,60,41,81,143,360,439,220,67,34,20,12
Kandal,"2,019",cases,353,173,184,250,433,1075,1272,998,518,499,358,195
Koh Kong,"2,019",cases,10,14,24,30,84,33,127,31,13,7,7,12
Kratie,"2,019",cases,18,51,51,61,89,89,80,31,15,6,3,1
MondulKiri,"2,019",cases,2,7,2,22,265,500,343,73,15,20,9,0
Phnom Penh,"2,019",cases,828,325,255,281,498,1472,1488,"1,133",730,891,832,565
PreahVihear,"2,019",cases,23,37,88,121,267,719,719,157,46,29,14,7
PreyVeng,"2,019",cases,77,58,49,94,225,503,499,301,133,120,86,39
Pursat,"2,019",cases,21,12,7,18,37,70,80,60,18,106,83,35
RattanaKiri,"2,019",cases,2,3,7,14,58,540,570,189,42,22,0,6
Siem Reap,"2,019",cases,174,170,342,404,726,1671,2755,"1,778",705,547,241,88
K.Pr.Sihaknouk,"2,019",cases,99,100,83,93,211,265,367,206,100,113,76,57
StungTreng,"2,019",cases,3,3,4,16,78,149,29,20,17,15,7,0
SvayRieng,"2,019",cases,13,15,16,5,49,161,288,182,95,62,30,22
Takeo,"2,019",cases,31,13,16,27,61,158,362,141,53,81,58,15
O.Meanchey,"2,019",cases,34,47,92,114,200,573,668,335,123,90,22,7
Kep,"2,019",cases,3,19,9,6,4,46,117,14,7,2,2,1
Paillin,"2,019",cases,22,11,15,28,119,88,117,47,12,30,30,12
Tboung Khmum,"2,019",cases,48,29,30,72,118,241,1027,440,218,131,68,45
B.Meanchey,"2,020",cases,36,24,30,12,28,39,154,239,220,72,29,19
Battambang,"2,020",cases,19,8,3,8,11,62,186,228,114,31,1,2
Kampong Cham,"2,020",cases,16,10,12,7,21,40,82,175,80,61,49,29
Kg.Chhnang,"2,020",cases,8,12,7,6,39,58,180,150,71,26,6,7
KampongSpeu,"2,020",cases,42,31,9,14,23,74,136,150,82,18,23,21
KampongThom,"2,020",cases,40,40,28,24,56,74,136,127,60,25,21,11
Kampot,"2,020",cases,6,12,5,2,3,27,37,42,30,24,19,6
Kandal,"2,020",cases,121,79,53,37,82,80,135,204,181,136,96,76
Koh Kong,"2,020",cases,5,8,2,3,7,7,5,7,12,7,13,10
Kratie,"2,020",cases,8,4,9,4,9,13,29,29,21,19,1,2
MondulKiri,"2,020",cases,1,0,1,0,0,0,3,1,0,1,0,0
Phnom Penh,"2,020",cases,374,133,84,44,66,65,176,338,349,318,341,277
PreahVihear,"2,020",cases,13,11,5,10,3,15,46,33,40,21,13,2
PreyVeng,"2,020",cases,22,25,15,8,27,25,40,47,38,29,27,11
Pursat,"2,020",cases,7,5,5,1,1,3,17,30,30,16,5,3
RattanaKiri,"2,020",cases,5,4,1,0,0,1,20,42,7,11,6,3
Siem Reap,"2,020",cases,68,30,15,23,28,46,276,236,121,65,22,6
K.Pr.Sihaknouk,"2,020",cases,39,26,23,24,27,51,57,47,19,13,10,6
StungTreng,"2,020",cases,6,4,9,5,5,11,34,27,33,11,13,8
SvayRieng,"2,020",cases,20,6,4,3,15,28,33,53,38,19,12,5
Takeo,"2,020",cases,33,10,20,8,26,14,36,50,56,23,10,21
O.Meanchey,"2,020",cases,2,1,1,0,5,5,27,31,11,7,3,1
Kep,"2,020",cases,0,0,0,0,0,1,3,6,2,0,2,0
Paillin,"2,020",cases,7,6,4,5,3,8,21,9,7,5,3,1
Tboung Khmum,"2,020",cases,30,17,13,21,20,102,186,133,102,69,48,22
B.Meanchey,"2,002",deaths,0,0,3,0,1,2,1,4,3,4,1,0
Battambang,"2,002",deaths,0,0,0,0,1,1,3,0,2,2,1,0
Kampong Cham,"2,002",deaths,0,0,0,1,2,2,3,0,2,0,1,1
Kg.Chhnang,"2,002",deaths,0,0,0,0,3,0,0,1,0,0,0,0
KampongSpeu,"2,002",deaths,0,0,0,0,1,0,1,5,3,2,1,0
KampongThom,"2,002",deaths,0,0,0,0,4,1,1,1,1,0,0,2
Kampot,"2,002",deaths,0,0,0,0,0,1,0,0,2,0,0,0
Kandal,"2,002",deaths,0,1,0,0,1,2,3,2,2,0,1,1
Koh Kong,"2,002",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kratie,"2,002",deaths,0,0,0,0,1,0,0,0,0,1,0,1
MondulKiri,"2,002",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Phnom Penh,"2,002",deaths,0,1,0,3,0,1,3,1,3,1,5,5
PreahVihear,"2,002",deaths,0,0,0,0,0,0,0,0,0,0,0,0
PreyVeng,"2,002",deaths,0,0,0,1,0,0,1,0,4,2,0,1
Pursat,"2,002",deaths,0,0,0,0,0,0,0,0,2,0,0,0
RattanaKiri,"2,002",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Siem Reap,"2,002",deaths,0,0,3,1,3,0,1,3,0,1,0,0
K.Pr.Sihaknouk,"2,002",deaths,0,0,0,0,0,0,0,0,0,0,0,0
StungTreng,"2,002",deaths,0,0,0,2,0,2,1,0,0,0,0,0
SvayRieng,"2,002",deaths,0,0,0,0,1,0,0,0,0,0,0,0
Takeo,"2,002",deaths,0,0,0,0,3,2,1,3,1,3,0,0
O.Meanchey,"2,002",deaths,0,0,0,0,0,0,0,1,0,0,0,0
Kep,"2,002",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Paillin,"2,002",deaths,0,0,0,0,0,0,0,,0,0,0,0
B.Meanchey,"2,003",deaths,1,0,3,1,3,2,3,1,1,1,1,1
Battambang,"2,003",deaths,1,0,2,2,2,1,3,1,1,2,0,1
Kampong Cham,"2,003",deaths,3,1,1,5,3,7,8,5,1,2,0,1
Kg.Chhnang,"2,003",deaths,0,0,1,0,0,0,1,0,0,0,0,0
KampongSpeu,"2,003",deaths,0,0,0,0,0,2,4,2,1,0,0,0
KampongThom,"2,003",deaths,0,0,0,0,1,4,3,3,0,0,0,0
Kampot,"2,003",deaths,0,0,0,0,0,0,0,0,1,1,0,0
Kandal,"2,003",deaths,1,0,0,1,3,4,7,3,1,1,1,0
Koh Kong,"2,003",deaths,0,0,0,1,0,0,0,0,0,0,0,0
Kratie,"2,003",deaths,0,0,2,0,0,3,7,2,1,0,0,0
MondulKiri,"2,003",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Phnom Penh,"2,003",deaths,0,0,0,3,0,1,2,3,1,1,1,1
PreahVihear,"2,003",deaths,0,0,0,0,0,0,0,0,0,0,0,0
PreyVeng,"2,003",deaths,0,0,0,0,1,2,0,3,0,0,0,0
Pursat,"2,003",deaths,1,0,0,0,0,0,2,2,1,0,0,0
RattanaKiri,"2,003",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Siem Reap,"2,003",deaths,0,0,0,0,1,1,2,4,1,0,0,0
K.Pr.Sihaknouk,"2,003",deaths,0,0,0,0,0,1,0,0,0,0,0,0
StungTreng,"2,003",deaths,0,0,0,0,0,2,0,0,0,0,0,0
SvayRieng,"2,003",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Takeo,"2,003",deaths,0,0,0,0,1,2,2,2,1,1,0,0
O.Meanchey,"2,003",deaths,0,0,0,0,0,3,0,3,0,3,0,0
Kep,"2,003",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Paillin,"2,003",deaths,0,0,0,0,0,0,0,,0,0,0,0
B.Meanchey,"2,004",deaths,0,0,0,0,1,0,0,0,0,0,0,0
Battambang,"2,004",deaths,0,0,0,0,1,1,0,0,0,0,1,0
Kampong Cham,"2,004",deaths,1,0,0,0,3,8,5,5,1,0,1,0
Kg.Chhnang,"2,004",deaths,0,0,0,0,0,0,0,1,0,0,0,0
KampongSpeu,"2,004",deaths,0,0,0,0,0,0,3,0,1,0,1,0
KampongThom,"2,004",deaths,0,0,0,0,0,2,2,0,0,0,0,0
Kampot,"2,004",deaths,0,0,0,0,1,0,1,1,0,1,0,0
Kandal,"2,004",deaths,0,0,0,0,2,3,1,1,1,0,0,0
Koh Kong,"2,004",deaths,0,0,0,0,0,0,1,0,0,0,0,0
Kratie,"2,004",deaths,0,0,1,0,0,0,0,0,0,0,0,0
MondulKiri,"2,004",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Phnom Penh,"2,004",deaths,0,0,1,0,1,1,0,0,0,2,1,2
PreahVihear,"2,004",deaths,0,0,0,0,0,0,0,0,0,0,0,0
PreyVeng,"2,004",deaths,0,0,0,0,1,3,4,1,0,0,0,0
Pursat,"2,004",deaths,0,0,0,0,2,0,1,0,1,0,0,0
RattanaKiri,"2,004",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Siem Reap,"2,004",deaths,0,0,0,0,0,1,0,0,0,0,0,0
K.Pr.Sihaknouk,"2,004",deaths,0,0,0,0,0,0,0,0,0,0,0,0
StungTreng,"2,004",deaths,0,0,0,0,0,0,0,0,0,0,0,0
SvayRieng,"2,004",deaths,0,0,0,0,0,0,2,0,0,0,0,0
Takeo,"2,004",deaths,0,0,0,0,1,4,3,2,0,2,0,0
O.Meanchey,"2,004",deaths,0,0,0,2,0,0,0,0,0,0,0,0
Kep,"2,004",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Paillin,"2,004",deaths,0,0,0,0,0,0,0,0,0,0,0,0
B.Meanchey,"2,005",deaths,0,0,1,0,0,7,8,9,1,1,0,0
Battambang,"2,005",deaths,0,0,0,1,1,3,7,2,3,1,2,0
Kampong Cham,"2,005",deaths,0,0,0,0,1,2,6,4,1,1,0,0
Kg.Chhnang,"2,005",deaths,0,0,0,0,0,0,1,1,0,0,0,1
KampongSpeu,"2,005",deaths,0,0,1,0,0,1,1,2,3,2,1,1
KampongThom,"2,005",deaths,0,1,1,0,1,1,3,1,0,0,0,0
Kampot,"2,005",deaths,0,0,0,1,0,2,0,1,0,0,0,0
Kandal,"2,005",deaths,0,0,0,0,1,3,4,3,2,0,0,0
Koh Kong,"2,005",deaths,1,0,0,0,0,1,0,0,0,1,0,0
Kratie,"2,005",deaths,0,0,0,0,0,0,1,0,1,0,0,0
MondulKiri,"2,005",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Phnom Penh,"2,005",deaths,0,0,0,0,0,0,0,2,2,5,2,2
PreahVihear,"2,005",deaths,0,0,0,0,0,0,0,0,0,0,0,0
PreyVeng,"2,005",deaths,0,0,0,0,0,0,0,1,0,0,1,0
Pursat,"2,005",deaths,0,0,0,2,4,0,0,1,0,0,1,0
RattanaKiri,"2,005",deaths,0,0,0,0,0,0,0,1,0,0,0,0
Siem Reap,"2,005",deaths,0,0,0,0,0,1,1,1,1,1,2,1
K.Pr.Sihaknouk,"2,005",deaths,1,0,0,0,1,0,0,0,1,0,0,0
StungTreng,"2,005",deaths,0,0,0,0,0,0,0,0,0,0,0,0
SvayRieng,"2,005",deaths,0,0,0,0,0,0,0,0,1,1,0,0
Takeo,"2,005",deaths,0,0,0,0,1,1,2,2,0,3,0,1
O.Meanchey,"2,005",deaths,0,0,0,0,0,0,0,1,0,0,0,0
Kep,"2,005",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Paillin,"2,005",deaths,0,0,0,0,0,0,0,0,0,0,0,0
B.Meanchey,"2,006",deaths,1,0,0,0,2,0,0,3,0,0,0,0
Battambang,"2,006",deaths,0,0,0,1,4,0,1,0,1,0,0,0
Kampong Cham,"2,006",deaths,0,0,0,1,4,3,2,0,1,1,3,0
Kg.Chhnang,"2,006",deaths,0,0,0,0,0,1,1,3,1,1,0,0
KampongSpeu,"2,006",deaths,0,0,0,1,1,2,4,0,2,1,2,0
KampongThom,"2,006",deaths,1,0,1,1,2,3,2,4,3,1,0,0
Kampot,"2,006",deaths,1,0,0,0,0,0,0,0,0,0,0,0
Kandal,"2,006",deaths,0,0,0,1,4,5,4,5,7,3,2,2
Koh Kong,"2,006",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kratie,"2,006",deaths,0,0,0,0,0,3,0,0,0,0,0,0
MondulKiri,"2,006",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Phnom Penh,"2,006",deaths,1,0,1,1,2,2,0,2,2,1,3,1
PreahVihear,"2,006",deaths,0,0,0,0,0,0,0,0,0,0,1,0
PreyVeng,"2,006",deaths,0,0,0,0,1,0,2,1,0,2,2,1
Pursat,"2,006",deaths,0,0,0,0,0,0,0,0,0,0,0,0
RattanaKiri,"2,006",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Siem Reap,"2,006",deaths,0,0,2,0,1,0,3,2,2,1,1,1
K.Pr.Sihaknouk,"2,006",deaths,0,0,0,0,0,0,1,1,0,0,0,1
StungTreng,"2,006",deaths,0,0,0,0,0,0,1,0,0,0,0,0
SvayRieng,"2,006",deaths,0,0,0,0,2,0,2,0,0,0,1,0
Takeo,"2,006",deaths,0,0,0,0,0,1,2,2,0,1,0,1
O.Meanchey,"2,006",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kep,"2,006",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Paillin,"2,006",deaths,0,0,0,0,0,0,0,0,0,0,0,0
B.Meanchey,"2,007",deaths,,,,1,1,6,5,1,0,0,0,0
Battambang,"2,007",deaths,,,,1,3,0,5,1,0,0,1,0
Kampong Cham,"2,007",deaths,,,5,8,13,26,9,3,0,0,0,0
Kg.Chhnang,"2,007",deaths,,,,0,2,0,1,1,0,0,0,0
KampongSpeu,"2,007",deaths,1,,,2,9,15,5,2,0,0,0,1
KampongThom,"2,007",deaths,,,1,5,3,7,1,3,0,0,1,0
Kampot,"2,007",deaths,,,,1,5,7,3,0,0,0,0,0
Kandal,"2,007",deaths,,,,5,5,11,9,3,0,0,0,0
Koh Kong,"2,007",deaths,,,,0,0,0,0,0,0,0,0,0
Kratie,"2,007",deaths,,,1,0,2,0,0,0,0,0,0,0
MondulKiri,"2,007",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Phnom Penh,"2,007",deaths,1,,,2,4,5,3,1,1,1,1,0
PreahVihear,"2,007",deaths,,,,0,0,0,1,0,1,1,0,0
PreyVeng,"2,007",deaths,,,,3,12,14,10,0,1,1,0,0
Pursat,"2,007",deaths,,,,0,0,0,0,0,0,0,0,0
RattanaKiri,"2,007",deaths,,,,0,0,0,0,0,0,0,0,0
Siem Reap,"2,007",deaths,1,,3,3,5,14,10,4,1,1,0,0
K.Pr.Sihaknouk,"2,007",deaths,,,1,0,1,2,0,0,0,0,0,0
StungTreng,"2,007",deaths,,,,0,0,0,0,0,0,0,0,0
SvayRieng,"2,007",deaths,,,,0,4,7,2,1,0,0,0,0
Takeo,"2,007",deaths,,,,3,6,16,10,0,0,0,0,0
O.Meanchey,"2,007",deaths,,,,1,1,0,1,0,0,0,2,0
Kep,"2,007",deaths,,,,1,0,0,0,0,0,0,0,0
Paillin,"2,007",deaths,,,,0,0,0,0,0,0,0,0,0
B.Meanchey,"2,008",deaths,0,0,0,0,0,4,0,0,2,2,0,0
Battambang,"2,008",deaths,1,1,1,0,0,1,1,1,0,0,0,0
Kampong Cham,"2,008",deaths,0,0,0,0,2,2,4,0,1,0,0,0
Kg.Chhnang,"2,008",deaths,0,,0,0,0,0,0,0,0,1,0,0
KampongSpeu,"2,008",deaths,0,0,0,0,1,0,0,0,0,0,0,0
KampongThom,"2,008",deaths,0,2,0,0,2,0,1,1,0,1,0,0
Kampot,"2,008",deaths,0,,,0,0,0,0,0,0,0,0,0
Kandal,"2,008",deaths,0,0,0,0,1,1,2,0,0,0,0,0
Koh Kong,"2,008",deaths,,,,0,0,0,0,0,0,0,0,0
Kratie,"2,008",deaths,,0,,0,0,0,0,0,1,0,0,0
MondulKiri,"2,008",deaths,,,,0,0,0,,,0,,0,0
Phnom Penh,"2,008",deaths,0,0,0,0,0,0,0,1,0,0,1,0
PreahVihear,"2,008",deaths,0,0,0,0,0,0,0,0,0,0,0,0
PreyVeng,"2,008",deaths,0,0,0,0,0,0,0,0,1,0,0,0
Pursat,"2,008",deaths,,,0,0,0,1,2,0,0,0,0,0
RattanaKiri,"2,008",deaths,,,,,,0,0,0,0,,0,
Siem Reap,"2,008",deaths,0,1,2,0,1,4,1,0,1,0,3,0
K.Pr.Sihaknouk,"2,008",deaths,0,0,,,0,0,0,0,0,0,0,0
StungTreng,"2,008",deaths,,,0,0,,1,0,0,0,0,0,
SvayRieng,"2,008",deaths,,,,,,0,0,1,1,2,0,
Takeo,"2,008",deaths,0,,,0,0,0,0,1,0,2,0,0
O.Meanchey,"2,008",deaths,0,0,0,1,0,0,0,0,0,0,0,
Kep,"2,008",deaths,,,,,0,0,,,,0,0,
Paillin,"2,008",deaths,,,0,0,0,0,0,0,0,0,0,
B.Meanchey,"2,009",deaths,,0,0,0,0,0,1,0,0,0,1,0
Battambang,"2,009",deaths,0,0,0,0,0,0,0,0,2,0,0,0
Kampong Cham,"2,009",deaths,0,0,1,0,0,1,1,0,1,0,0,1
Kg.Chhnang,"2,009",deaths,0,0,0,0,1,0,0,0,0,0,0,0
KampongSpeu,"2,009",deaths,0,0,1,0,0,1,0,0,0,0,0,0
KampongThom,"2,009",deaths,0,0,0,0,2,0,0,0,0,0,0,0
Kampot,"2,009",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kandal,"2,009",deaths,0,0,0,0,0,0,0,0,2,0,0,0
Koh Kong,"2,009",deaths,0,0,0,0,0,0,0,0,,0,0,0
Kratie,"2,009",deaths,,0,0,0,2,2,1,0,0,,,
MondulKiri,"2,009",deaths,,,,,,,0,,,,,
Phnom Penh,"2,009",deaths,0,0,0,0,0,0,1,0,1,1,0,1
PreahVihear,"2,009",deaths,0,0,,0,0,1,0,0,0,0,,
PreyVeng,"2,009",deaths,0,0,0,0,0,1,0,2,0,0,0,0
Pursat,"2,009",deaths,0,0,0,0,0,0,0,2,2,0,0,0
RattanaKiri,"2,009",deaths,,0,0,0,0,0,0,0,,0,,
Siem Reap,"2,009",deaths,0,0,0,0,0,1,1,1,0,0,0,0
K.Pr.Sihaknouk,"2,009",deaths,0,0,0,0,0,0,0,0,0,0,0,0
StungTreng,"2,009",deaths,,0,,,0,0,0,0,0,0,1,0
SvayRieng,"2,009",deaths,0,0,0,0,0,0,0,1,0,0,0,0
Takeo,"2,009",deaths,0,0,0,0,0,0,0,0,0,0,0,0
O.Meanchey,"2,009",deaths,0,0,,0,0,0,0,0,0,0,0,0
Kep,"2,009",deaths,,0,,,,0,0,,0,0,,
Paillin,"2,009",deaths,,0,,0,0,0,0,0,0,0,,
B.Meanchey,"2,010",deaths,0,0,0,0,1,0,1,0,0,0,0,0
Battambang,"2,010",deaths,0,0,0,0,0,0,0,2,0,0,0,0
Kampong Cham,"2,010",deaths,1,0,0,0,1,0,0,0,1,1,1,0
Kg.Chhnang,"2,010",deaths,0,0,0,0,0,0,0,1,0,0,0,0
KampongSpeu,"2,010",deaths,0,0,0,0,0,0,0,1,0,0,0,0
KampongThom,"2,010",deaths,0,0,0,0,0,0,1,1,0,0,1,0
Kampot,"2,010",deaths,0,0,2,0,0,0,0,2,0,1,0,0
Kandal,"2,010",deaths,0,0,0,0,0,1,1,0,2,1,0,0
Koh Kong,"2,010",deaths,,,0,,0,0,0,0,0,0,0,
Kratie,"2,010",deaths,,,,0,0,0,0,0,0,0,0,
MondulKiri,"2,010",deaths,,,,,0,,0,0,,0,,
Phnom Penh,"2,010",deaths,0,0,0,0,0,0,1,1,1,0,0,1
PreahVihear,"2,010",deaths,,0,0,0,0,0,0,0,0,0,0,0
PreyVeng,"2,010",deaths,0,,0,0,0,0,0,0,0,0,0,0
Pursat,"2,010",deaths,0,,0,0,0,0,0,0,0,0,0,
RattanaKiri,"2,010",deaths,,,,,,0,0,1,0,0,0,0
Siem Reap,"2,010",deaths,0,0,0,0,0,0,1,2,0,0,0,0
K.Pr.Sihaknouk,"2,010",deaths,0,0,0,0,0,0,0,0,0,0,0,0
StungTreng,"2,010",deaths,,,0,0,0,0,0,0,0,0,,
SvayRieng,"2,010",deaths,0,,0,,0,1,0,0,0,0,0,0
Takeo,"2,010",deaths,0,0,0,0,2,0,0,0,1,1,0,0
O.Meanchey,"2,010",deaths,0,0,0,,0,0,0,0,0,0,0,0
Kep,"2,010",deaths,,0,0,0,0,0,0,0,0,0,,
Paillin,"2,010",deaths,0,0,,,0,0,0,0,1,0,0,0
B.Meanchey,"2,011",deaths,0,0,0,0,0,2,1,0,1,0,1,0
Battambang,"2,011",deaths,0,0,0,0,1,0,0,0,0,0,1,1
Kampong Cham,"2,011",deaths,0,0,0,0,0,0,6,1,1,0,0,0
Kg.Chhnang,"2,011",deaths,0,0,0,0,0,1,0,1,1,1,0,0
KampongSpeu,"2,011",deaths,0,0,0,0,0,1,3,1,0,1,1,0
KampongThom,"2,011",deaths,0,0,0,0,2,1,3,3,3,2,0,0
Kampot,"2,011",deaths,0,0,0,0,0,1,0,0,0,0,0,0
Kandal,"2,011",deaths,1,0,0,0,1,1,1,0,2,0,0,0
Koh Kong,"2,011",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kratie,"2,011",deaths,0,0,0,0,0,0,1,0,0,0,0,0
MondulKiri,"2,011",deaths,0,0,0,0,0,0,0,,0,0,0,0
Phnom Penh,"2,011",deaths,0,0,0,0,0,1,0,0,1,2,0,0
PreahVihear,"2,011",deaths,0,0,0,0,0,0,0,0,0,0,0,0
PreyVeng,"2,011",deaths,0,0,0,0,1,1,0,0,2,0,0,0
Pursat,"2,011",deaths,0,0,0,0,0,0,0,0,0,0,0,0
RattanaKiri,"2,011",deaths,0,0,0,0,1,0,0,0,0,0,0,0
Siem Reap,"2,011",deaths,0,0,2,0,0,0,2,1,0,0,0,0
K.Pr.Sihaknouk,"2,011",deaths,0,0,0,0,1,0,0,0,0,0,0,0
StungTreng,"2,011",deaths,0,0,0,0,0,0,0,0,0,0,0,0
SvayRieng,"2,011",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Takeo,"2,011",deaths,0,0,1,0,0,1,1,0,2,0,0,1
O.Meanchey,"2,011",deaths,0,0,0,0,0,0,0,1,0,0,0,0
Kep,"2,011",deaths,0,0,0,0,0,0,0,,0,0,0,0
Paillin,"2,011",deaths,0,0,0,0,0,0,1,0,1,0,0,0
B.Meanchey,"2,012",deaths,1,0,1,1,3,7,5,3,3,2,1,3
Battambang,"2,012",deaths,0,0,0,1,2,2,4,4,2,1,1,1
Kampong Cham,"2,012",deaths,0,0,0,1,1,4,6,6,2,1,2,0
Kg.Chhnang,"2,012",deaths,0,0,1,0,0,1,1,0,1,0,0,0
KampongSpeu,"2,012",deaths,0,0,0,0,2,0,3,1,2,3,0,1
KampongThom,"2,012",deaths,0,0,1,0,1,3,5,3,0,0,0,0
Kampot,"2,012",deaths,0,0,0,0,0,0,2,0,0,0,1,0
Kandal,"2,012",deaths,0,0,1,0,0,3,6,3,2,0,0,0
Koh Kong,"2,012",deaths,0,0,0,1,0,0,0,0,0,0,0,0
