province,year,type,Jan,Feb,Mar,Apr,May,June,Jul,Aug,Sep,Oct,Nov,Dec
K.Pr.Sihaknouk,"2,006",cases,4,0,0,2,5,3,8,5,8,2,7,5
StungTreng,"2,006",cases,0,0,1,0,0,4,3,1,0,1,0,1
SvayRieng,"2,006",cases,0,0,0,1,24,22,104,64,16,2,7,3
Takeo,"2,006",cases,3,1,3,0,8,38,78,72,76,74,19,25
O.Meanchey,"2,006",cases,0,0,3,1,1,19,31,19,5,5,1,0
Kep,"2,006",cases,0,0,0,0,0,0,0,0,0,0,0,1
Paillin,"2,006",cases,0,0,0,1,2,6,8,13,6,1,0,0
B.Meanchey,"2,007",cases,22,8,44,85,374,837,702,126,61,65,31,9
Battambang,"2,007",cases,3,2,9,33,100,119,300,40,18,18,10,0
Kampong Cham,"2,007",cases,84,45,122,336,922,1859,1328,157,55,56,20,7
Kg.Chhnang,"2,007",cases,12,9,6,7,35,168,175,47,8,10,8,0
KampongSpeu,"2,007",cases,50,46,88,147,493,835,560,63,14,15,11,4
KampongThom,"2,007",cases,36,18,39,83,220,575,561,131,49,52,16,15
Kampot,"2,007",cases,5,4,25,109,226,438,259,15,3,3,1,1
Kandal,"2,007",cases,154,106,116,312,788,1368,1202,254,71,73,29,12
Koh Kong,"2,007",cases,4,3,7,16,21,27,31,9,0,0,2,1
Kratie,"2,007",cases,1,2,6,16,47,37,56,5,1,1,0,0
MondulKiri,"2,007",cases,0,0,0,0,0,0,3,0,0,0,0,0
Phnom Penh,"2,007",cases,202,95,77,153,370,839,1150,423,206,213,103,46
PreahVihear,"2,007",cases,,1,2,0,4,39,47,10,7,7,2,2
PreyVeng,"2,007",cases,43,20,37,102,408,810,562,94,35,35,14,2
Pursat,"2,007",cases,,1,3,1,3,12,16,16,6,6,2,0
RattanaKiri,"2,007",cases,1,,1,2,1,1,67,12,2,2,0,0
Siem Reap,"2,007",cases,74,28,122,291,637,1733,1756,422,200,200,83,67
K.Pr.Sihaknouk,"2,007",cases,12,10,17,23,95,130,38,8,6,6,0,0
StungTreng,"2,007",cases,,,,1,3,5,9,0,0,0,0,0
SvayRieng,"2,007",cases,2,3,,3,23,271,403,124,2,2,2,0
Takeo,"2,007",cases,27,15,26,183,457,1474,1112,50,12,12,7,0
O.Meanchey,"2,007",cases,,,4,7,41,110,148,54,20,21,7,7
Kep,"2,007",cases,1,,3,5,16,32,18,0,0,0,0,0
Paillin,"2,007",cases,,,2,2,4,7,8,5,2,2,3,0
B.Meanchey,"2,008",cases,6,4,14,40,67,147,144,113,76,57,17,7
Battambang,"2,008",cases,10,1,5,6,11,18,23,24,18,18,14,3
Kampong Cham,"2,008",cases,6,5,6,38,144,196,250,191,143,64,70,18
Kg.Chhnang,"2,008",cases,1,0,2,4,12,40,35,29,20,15,4,2
KampongSpeu,"2,008",cases,2,2,4,6,18,51,61,57,62,65,31,10
KampongThom,"2,008",cases,14,8,14,41,92,129,101,70,65,69,27,9
Kampot,"2,008",cases,1,0,0,8,13,16,7,7,10,16,12,2
Kandal,"2,008",cases,9,6,8,5,37,146,266,205,182,105,87,52
Koh Kong,"2,008",cases,,,,1,1,3,4,1,5,4,2,3
Kratie,"2,008",cases,,2,,1,5,5,8,6,11,4,1,2
MondulKiri,"2,008",cases,,,,1,2,0,,,3,,1,1
Phnom Penh,"2,008",cases,33,12,12,20,72,137,232,257,330,373,304,115
PreahVihear,"2,008",cases,8,11,17,32,64,45,11,5,7,2,1,1
PreyVeng,"2,008",cases,6,7,5,10,25,50,59,54,58,48,29,11
Pursat,"2,008",cases,0,0,2,2,11,23,39,8,5,5,10,6
RattanaKiri,"2,008",cases,0,0,,,,0,3,1,2,,1,
Siem Reap,"2,008",cases,51,25,49,97,171,283,229,310,269,248,132,32
K.Pr.Sihaknouk,"2,008",cases,1,1,0,0,2,5,2,2,8,3,6,6
StungTreng,"2,008",cases,0,0,1,2,0,2,2,2,2,1,2,
SvayRieng,"2,008",cases,0,0,0,0,0,4,8,11,22,35,1,
Takeo,"2,008",cases,2,0,0,1,7,25,42,34,57,26,32,6
O.Meanchey,"2,008",cases,2,5,5,14,26,78,66,29,20,7,1,
Kep,"2,008",cases,0,0,0,0,2,1,,0,,1,0,
Paillin,"2,008",cases,,,1,1,4,4,2,5,4,1,0,
B.Meanchey,"2,009",cases,,1,4,8,33,68,63,61,36,34,29,9
Battambang,"2,009",cases,1,2,1,1,9,27,42,43,36,34,16,6
Kampong Cham,"2,009",cases,14,15,27,75,220,431,321,216,108,75,22,10
Kg.Chhnang,"2,009",cases,4,1,4,14,33,53,180,88,40,17,7,1
KampongSpeu,"2,009",cases,7,9,25,50,160,187,109,52,36,27,16,7
KampongThom,"2,009",cases,6,4,13,12,45,91,110,84,32,14,11,5
Kampot,"2,009",cases,1,1,8,12,16,33,21,27,16,12,2,1
Kandal,"2,009",cases,29,36,57,94,266,460,466,403,241,162,68,19
