"age_mult","age_min","age_max","year_range","llik","convergence","lci_mult","uci_mult"
1.10379270533273,1,2,"2002-2010",89232.1454893272,0,"1.10110117907908","1.10610618398398"
0.618515030315714,3,4,"2002-2010",89232.1454893272,0,"0.615615703303303","0.625625713113113"
1.01271538346143,5,6,"2002-2010",89232.1454893272,0,"1.00600608588589","1.0210211006006"
0.995052050010426,7,9,"2002-2010",89232.1454893272,0,"0.985986066266266","1.00100108098098"
1.24791572966535,10,12,"2002-2010",89232.1454893272,0,"1.23123130660661","1.26626634094094"
3.17921865652374,13,15,"2002-2010",89232.1454893272,0,"3.12312316066066","3.23323326856857"
1.01602799589001,16,19,"2002-2010",89232.1454893272,0,"0.920921002502502","1.11611619379379"
0.345971505334393,20,29,"2002-2010",89232.1454893272,0,"0.110110207907908","0.585585673873874"
1,30,39,"2002-2010",89232.1454893272,0,"1e-07","5"
1,40,49,"2002-2010",89232.1454893272,0,"1e-07","5"
1,50,59,"2002-2010",89232.1454893272,0,"1e-07","5"
1,60,69,"2002-2010",89232.1454893272,0,"1e-07","5"
1,70,90,"2002-2010",89232.1454893272,0,"1e-07","5"
1.18168332955028,1,2,"2011-2020",89232.1454893272,0,"1.18118125755756","1.18618626246246"
0.760695763592822,3,4,"2011-2020",89232.1454893272,0,"0.755755840640641","0.76576585045045"
0.892928765372131,5,6,"2011-2020",89232.1454893272,0,"0.885885968168168","0.900900982882883"
0.952030675955396,7,9,"2011-2020",89232.1454893272,0,"0.945946027027027","0.955956036836837"
1.39259002524494,10,12,"2011-2020",89232.1454893272,0,"1.38638645865866","1.40140147337337"
1.93821635631702,13,15,"2011-2020",89232.1454893272,0,"1.92692698838839","1.95195201291291"
0.225254118335519,16,19,"2011-2020",89232.1454893272,0,"0.210210306006006","0.240240335435435"
0.200243639394712,20,29,"2011-2020",89232.1454893272,0,"0.190190286386386","0.210210306006006"
1.68768953120767,30,39,"2011-2020",89232.1454893272,0,"1.65665672352352","1.72172178728729"
0.477270495053301,40,49,"2011-2020",89232.1454893272,0,"0.415415507107107","0.54054062972973"
2.36100320265699,50,59,"2011-2020",89232.1454893272,0,"2.02202208158158","2.70770775355355"
1,60,69,"2011-2020",89232.1454893272,0,"1e-07","5"
1,70,90,"2011-2020",89232.1454893272,0,"1e-07","5"
