"time","provname","year","biweek","cases","temp_C","precip_mm","births","pop","cases_per_1000","reconstructed_annual_period","reconstructed_multi_period","multi_period","avg_wave_power_annual","avg_wave_power_multi","avg_wave_coherency_temp","avg_cross_power_temp","avg_wave_coherency_precip","avg_cross_power_precip","proportion_coherence_annual"
2002.92307692308,"Kampong Thom",2002,25,9,28.4313636857143,0.459724701835714,605.367969595905,594860.878066138,0.0151295879958664,-0.00308751835642872,0.0103614451987286,5.32125461645602,0.180889280733663,0.218706415242136,0.070618574422606,0.346246826664613,0.0908775636968042,0.403083146218877,0.956521739130435
2002.96153846154,"Kampong Thom",2002,26,16,29.14106084,0.37628423764642,605.484671722146,595282.882606048,0.0268779776262921,-0.00308751835642872,0.00891240115716399,5.31122020422548,0.189961540050642,0.222234872884758,0.0714246311019382,0.352863768571315,0.0909147364528555,0.410849558130778,0.956521739130435
2003,"Kampong Thom",2003,1,4,27.0835812214286,3.22889424428571e-05,605.601373848388,595703.562385884,0.00671474916815906,-0.00308751835642872,0.008038662363339,5.30128484994931,0.199174656103426,0.225803909789856,0.0714620176339255,0.35934353102675,0.0909519684754912,0.413977023422595,0.956521739130435
2003.03846153846,"Kampong Thom",2003,2,10,27.8276671642857,0.01421757708465,605.71807597463,596100.396484375,0.0167756976156652,-0.00308751835642872,0.00710235531531646,5.29144616944335,0.207408555501869,0.229413573326943,0.0718246732137846,0.365683904960153,0.090989233381311,0.425179964101715,0.956521739130435
2003.07692307692,"Kampong Thom",2003,3,7,28.1855553571429,0.00166291893972857,605.893607770861,596497.230582867,0.0117351760261484,-0.00308751835642872,0.00541465217521957,5.28170185150361,0.214891814946307,0.233063897244358,0.0718643464665594,0.370825740279178,0.0910264956963466,0.427744055759583,0.956521739130435
2003.11538461538,"Kampong Thom",2003,4,5,29.7517259428571,1.76246778645757,606.106576629812,596894.064681359,0.0083766957921908,-0.00308751835642872,0.00434014126929544,5.27204966122992,0.222837084400767,0.236754900885541,0.0719050923649999,0.376984753956583,0.0910637126005243,0.429813678595954,0.956521739130435
2003.15384615385,"Kampong Thom",2003,5,7,30.33645355,2.66753571428571,606.319545488763,597290.89877985,0.0117195825590171,-0.00308751835642872,0.00319729054402419,5.26248744335838,0.232179049581733,0.240486588362897,0.0719469008343072,0.378909011580661,0.0911008362245166,0.440454228766709,0.956521739130435
2003.19230769231,"Kampong Thom",2003,6,8,29.7641782785714,2.61227987901429,606.532514347714,597687.732878342,0.0133849158346845,-0.00308751835642872,0.000849222489069276,5.25301312558206,0.243040537583252,0.244258947689455,0.0719897588201047,0.384793688106803,0.0911378163669164,0.450729011705048,0.956521739130435
2003.23076923077,"Kampong Thom",2003,7,15,29.6395328,4.82191428571429,606.745483206665,598084.566976834,0.0250800653088596,-0.00308751835642872,-0.00116936544008262,5.2436247218387,0.255508952454487,0.248071949868867,0.0730679332798247,0.393378600446551,0.0911746034747551,0.4573136627475,0.956521739130435
2003.26923076923,"Kampong Thom",2003,8,11,31.4175511285715,1.44216428571429,606.958452065616,598481.401075326,0.0183798527075957,-0.00308751835642872,-0.00327713256073014,5.2343203355436,0.270213906218778,0.251925547944602,0.0731134478097541,0.39901374208557,0.0912111517123324,0.461726116612062,0.956521739130435
