"provname","year","biweek","epiyr","beta","betahigh","betalow","temp_C","precip_m","precip_mm","temp_C_lag","precip_mm_lag","time","cases","births","pop"
"Prey Veng","2017","24","2019",3.02943539237648e-05,3.20505565175787e-05,2.86314761051953e-05,28.0859419,0.00261526428571429,2.61526428571429,29.4032857571429,3.94340118963571,2017.88461538462,5,981.342838716477,1130790.96500439
"Prey Veng","2017","25","2019",4.59617004614447e-05,4.84808001046237e-05,4.35696314206337e-05,27.5613621214286,0.00136877840573571,1.36877840573571,28.4935302142857,6.77415,2017.92307692308,11,981.219773662261,1131453.62154634
"Prey Veng","2017","26","2019",2.20622434325682e-05,2.34552424676406e-05,2.07469200393686e-05,25.59829158,0.00195296761476745,1.95296761476745,27.4357740857143,2.61526428571429,2017.96153846154,26,981.096708608046,1132116.27808829
"Prey Veng","2017","3","2019",2.77086651478049e-05,2.94197097919873e-05,2.60876010042825e-05,27.8430754714286,0.000715094954859714,0.715094954859714,28.05051925,1.36877840573571,2017.07692307692,2,982.797430181463,1116875.17762344
"Prey Veng","2017","4","2019",2.61448916743582e-05,2.77931103871795e-05,2.45847385157856e-05,28.7849806214286,0.000469694604163221,0.469694604163221,28.3055742,1.95296761476745,2017.11538461538,4,982.73435316301,1117537.83416539
"Prey Veng","2017","5","2019",3.95345299849722e-05,4.17726007181141e-05,3.74072805451023e-05,29.2678123714286,0.000916289102167143,0.916289102167143,27.5849061142857,0.715094954859714,2017.15384615385,6,982.671276144558,1118200.49070734
"Prey Veng","2017","6","2019",3.22667659423333e-05,3.41628732605582e-05,3.04693675468556e-05,29.7826632571429,0.00290031428571429,2.90031428571429,27.9578490571429,0.469694604163221,2017.19230769231,5,982.608199126106,1118863.14724929
"Prey Veng","2017","7","2019",1.88426359680926e-05,2.00643977321505e-05,1.76888511328047e-05,28.4838166642857,0.0100239928571429,10.0239928571429,28.0859419,0.916289102167143,2017.23076923077,4,982.545122107653,1119525.80379124
"Prey Veng","2017","8","2019",3.60782625948184e-05,3.81609999407793e-05,3.40999467114272e-05,30.2455788785715,0.000550775388863571,0.550775388863571,27.5613621214286,2.90031428571429,2017.26923076923,3,982.482045089201,1120188.46033319
"Prey Veng","2017","9","2019",5.42289272802889e-05,5.70895787145608e-05,5.15053128467906e-05,29.8321053357143,0.00471725714285714,4.71725714285714,25.59829158,10.0239928571429,2017.30769230769,4,982.418968070749,1120851.11687514
"Prey Veng","2018","1","2019",3.24553810517359e-05,3.43023864982426e-05,3.07025931768135e-05,27.2981032928571,0.00130024678044,1.30024678044,27.8430754714286,0.550775388863571,2018,15,980.973643553831,1132772.64336695
"Prey Veng","2018","10","2019",4.29109209208529e-05,4.53248622328094e-05,4.06210115443465e-05,29.3583662071429,0.00557336428571429,5.57336428571429,28.7849806214286,4.71725714285714,2018.34615384615,19,979.866058065894,1138669.31436806
"Prey Veng","2018","11","2019",5.01836811416191e-05,5.29608023949601e-05,4.75479413876892e-05,28.4897816928572,0.00888591428571429,8.88591428571429,29.2678123714286,1.30024678044,2018.38461538462,17,979.742993011679,1139324.50003485
"Prey Veng","2018","12","2019",3.81504129414472e-05,4.03983768840867e-05,3.60237224190391e-05,28.376146,0.00524882142857143,5.24882142857143,29.7826632571429,5.57336428571429,2018.42307692308,26,979.619927957463,1139979.68570164
"Prey Veng","2018","13","2019",5.07451045981534e-05,5.36545760851125e-05,4.79891743011641e-05,28.7197620214286,0.00477023571428571,4.77023571428571,28.4838166642857,8.88591428571429,2018.46153846154,33,979.496862903248,1140634.87136843
"Prey Veng","2018","14","2019",4.03011682573783e-05,4.26663379968862e-05,3.80641876099522e-05,28.2857826714286,0.00506999285714286,5.06999285714286,30.2455788785715,5.24882142857143,2018.5,64,979.373797849033,1141290.05703522
"Prey Veng","2018","15","2019",3.14819809545234e-05,3.33541513134198e-05,2.97125737148435e-05,28.6032574928572,0.00490788571428571,4.90788571428571,29.8321053357143,4.77023571428571,2018.53846153846,70,979.250732794818,1141945.24270201
"Prey Veng","2018","16","2019",5.06638055149852e-05,5.35499129278153e-05,4.7929868768612e-05,27.9861562428572,0.0116618357142857,11.6618357142857,27.2981032928571,5.06999285714286,2018.57692307692,66,979.127667740602,1142600.4283688
"Prey Veng","2018","17","2019",3.5522622930693e-05,3.76336356296813e-05,3.35274510654993e-05,28.1785520785714,0.00610957857142857,6.10957857142857,29.3583662071429,4.90788571428571,2018.61538461538,97,979.004602686387,1143255.61403559
"Prey Veng","2018","18","2019",3.46983856489502e-05,3.67244116799134e-05,3.27817445545716e-05,28.3939492857143,0.00573367142857143,5.73367142857143,28.4897816928572,11.6618357142857,2018.65384615385,64,978.881537632172,1143910.79970238
"Prey Veng","2018","19","2019",3.64734448469854e-05,3.85689362438132e-05,3.44892909571239e-05,27.6911731571429,0.0102212142857143,10.2212142857143,28.376146,6.10957857142857,2018.69230769231,64,978.758472577957,1144565.98536917
"Prey Veng","2018","2","2019",1.83332622832251e-05,1.95161638553566e-05,1.72163408620004e-05,27.9867346428572,0.00126563571428571,1.26563571428571,28.7197620214286,5.73367142857143,2018.03846153846,16,980.850578499616,1133427.82903374
"Prey Veng","2018","20","2019",3.2569173661393e-05,3.44483806432928e-05,3.07900245789964e-05,28.3404047428572,0.0116938142857143,11.6938142857143,28.2857826714286,10.2212142857143,2018.73076923077,57,978.635407523741,1145221.17103596
"Prey Veng","2018","21","2019",4.13116111834166e-05,4.36244643640237e-05,3.91184092460314e-05,28.9885918714286,0.00406724285714286,4.06724285714286,28.6032574928572,1.26563571428571,2018.76923076923,42,978.512342469526,1145876.35670275
"Prey Veng","2018","22","2019",3.61760310057445e-05,3.8225692777197e-05,3.42335787348491e-05,28.5921893142857,0.00228786489040664,2.28786489040664,27.9861562428572,11.6938142857143,2018.80769230769,37,978.389277415311,1146531.54236955
"Prey Veng","2018","23","2019",3.91478845907094e-05,4.13542110977486e-05,3.7056238834611e-05,29.11908965,0.00185781428571429,1.85781428571429,28.1785520785714,4.06724285714286,2018.84615384615,47,978.266212361096,1147186.72803634
"Prey Veng","2018","24","2019",3.02943539237648e-05,3.20505565175787e-05,2.86314761051953e-05,27.9957391642857,0.00865401428571429,8.65401428571429,28.3939492857143,2.28786489040664,2018.88461538462,51,978.098669599114,1147841.91370313
"Prey Veng","2018","25","2019",4.59617004614447e-05,4.84808001046237e-05,4.35696314206337e-05,28.86604755,0.00102652142857143,1.02652142857143,27.6911731571429,1.85781428571429,2018.92307692308,40,977.918418920626,1148497.09936992
"Prey Veng","2018","26","2019",2.20622434325682e-05,2.34552424676406e-05,2.07469200393686e-05,28.4547120333334,0.00206711856726667,2.06711856726667,27.9867346428572,8.65401428571429,2018.96153846154,54,977.738168242139,1149152.28503671
"Prey Veng","2018","3","2019",2.77086651478049e-05,2.94197097919873e-05,2.60876010042825e-05,26.7031381142858,0.000532272090175286,0.532272090175286,28.3404047428572,1.02652142857143,2018.07692307692,9,980.727513445401,1134083.01470053
"Prey Veng","2018","4","2019",2.61448916743582e-05,2.77931103871795e-05,2.45847385157856e-05,28.5974090357143,0.000505364026509857,0.505364026509857,28.9885918714286,2.06711856726667,2018.11538461538,10,980.604448391185,1134738.20036732
"Prey Veng","2018","5","2019",3.95345299849722e-05,4.17726007181141e-05,3.74072805451023e-05,30.0736677071429,0.000164172085907143,0.164172085907143,28.5921893142857,0.532272090175286,2018.15384615385,10,980.48138333697,1135393.38603411
"Prey Veng","2018","6","2019",3.22667659423333e-05,3.41628732605582e-05,3.04693675468556e-05,29.4738389857143,0.00162040717699286,1.62040717699286,29.11908965,0.505364026509857,2018.19230769231,6,980.358318282755,1136048.5717009
"Prey Veng","2018","7","2019",1.88426359680926e-05,2.00643977321505e-05,1.76888511328047e-05,29.1531031214286,0.00134033571428571,1.34033571428571,27.9957391642857,0.164172085907143,2018.23076923077,11,980.23525322854,1136703.75736769
"Prey Veng","2018","8","2019",3.60782625948184e-05,3.81609999407793e-05,3.40999467114272e-05,31.3546809714286,0.000467172083958021,0.467172083958021,28.86604755,1.62040717699286,2018.26923076923,4,980.112188174324,1137358.94303448
"Prey Veng","2018","9","2019",5.42289272802889e-05,5.70895787145608e-05,5.15053128467906e-05,29.7054685285714,0.00590765,5.90765,28.4547120333334,1.34033571428571,2018.30769230769,12,979.989123120109,1138014.12870127
