"year","lambda","N_sero","llik","convergence"
1981,97.2995658830964,2,9310.99471068225,0
1982,0.00484526990234944,2,9310.99471068225,0
1983,6.43656809840155e-08,2,9310.99471068225,0
1984,0.00134747389344282,2,9310.99471068225,0
1985,0.489703383365548,2,9310.99471068225,0
1986,0.0993980478530731,2,9310.99471068225,0
1987,0.139459731606738,2,9310.99471068225,0
1988,0.508489534268325,2,9310.99471068225,0
1989,0.380177661774859,2,9310.99471068225,0
1990,0.300625649493483,2,9310.99471068225,0
1991,0.276148734338277,2,9310.99471068225,0
1992,0.267681783355252,2,9310.99471068225,0
1993,0.249523245963956,2,9310.99471068225,0
1994,0.188436919075356,2,9310.99471068225,0
1995,0.193490466202782,2,9310.99471068225,0
1996,0.159767506307009,2,9310.99471068225,0
1997,0.143527251842704,2,9310.99471068225,0
1998,0.146741112952833,2,9310.99471068225,0
1999,0.117325558761613,2,9310.99471068225,0
2000,0.110553134525426,2,9310.99471068225,0
2001,0.0158936388178974,2,9310.99471068225,0
2002,0.08675998406535,2,9310.99471068225,0
2003,0.148345363351813,2,9310.99471068225,0
2004,0.101163657447486,2,9310.99471068225,0
2005,0.0841742150121785,2,9310.99471068225,0
2006,0.0222986103427651,2,9310.99471068225,0
2007,0.109240022199385,2,9310.99471068225,0
2008,0.179829393458436,2,9310.99471068225,0
2009,0.0911106343411057,2,9310.99471068225,0
2010,0.052459102472155,2,9310.99471068225,0
2011,0.04790454680434,2,9310.99471068225,0
2012,0.0102840130427278,2,9310.99471068225,0
2013,0.113544607489205,2,9310.99471068225,0
2014,0.0366411572617134,2,9310.99471068225,0
2015,0.0272230698761,2,9310.99471068225,0
2016,0.0274742005697099,2,9310.99471068225,0
2017,0.0296469255511058,2,9310.99471068225,0
2018,0.059020518840719,2,9310.99471068225,0
2019,4.98660620101101e-08,2,9310.99471068225,0
2020,0.0458392289464776,2,9310.99471068225,0
