"variable","lag","epiyr","provname"
"precip_mm",-18,2007,"national"
"temp_C",-2,2007,"national"
"precip_mm",-1,2012,"national"
"temp_C",-5,2012,"national"
"precip_mm",-2,2019,"national"
"temp_C",-6,2019,"national"
