year_month,age-adjusted incidence,crude case numbers
2002_1,0.009408815,103
2002_2,0.009931366,109
2002_3,0.023633307,256
2002_4,0.025604198,277
2002_5,0.085241201,928
2002_6,0.153433621,1670
2002_7,0.233468015,2546
2002_8,0.199273411,2177
2002_9,0.157699459,1724
2002_10,0.133507882,1458
2002_11,0.059827072,657
2002_12,0.048919007,536
2003_1,0.042154676,457
2003_2,0.019355138,209
2003_3,0.026161038,282
2003_4,0.049159898,529
2003_5,0.083822096,907
2003_6,0.187024681,2019
2003_7,0.258327039,2797
2003_8,0.213796041,2316
2003_9,0.110901861,1203
2003_10,0.069566115,753
2003_11,0.037014415,404
2003_12,0.018742325,205
2004_1,0.019435655,209
2004_2,0.01522417,162
2004_3,0.017886944,191
2004_4,0.020673298,220
2004_5,0.072255318,773
2004_6,0.150437459,1605
2004_7,0.235680842,2530
2004_8,0.161112644,1731
2004_9,0.113960436,1225
2004_10,0.067948164,730
2004_11,0.036253635,393
2004_12,0.019829496,214
2005_1,0.01522802,162
2005_2,0.010682482,113
2005_3,0.017141097,180
2005_4,0.018524929,195
2005_5,0.052428134,552
2005_6,0.103178179,1083
2005_7,0.227016616,2402
2005_8,0.17485732,1850
2005_9,0.109563514,1162
2005_10,0.068588307,729
2005_11,0.040020815,426
2005_12,0.017590199,186
2006_1,0.015346149,160
2006_2,0.011658575,122
2006_3,0.024403764,254
2006_4,0.045509809,475
2006_5,0.114364816,1183
2006_6,0.19882794,2075
2006_7,0.290162196,3049
2006_8,0.340315094,3566
2006_9,0.240698901,2525
2006_10,0.132076012,1390
2006_11,0.097027326,1017
2006_12,0.07935113,834
2007_1,0.070646195,733
2007_2,0.040290205,416
2007_3,0.073624045,756
2007_4,0.185337397,1917
2007_5,0.509075216,5288
2007_6,1.123981411,11726
2007_7,1.002275197,10511
2007_8,0.486056494,5116
2007_9,0.196167423,2065
2007_10,0.075899107,799
2007_11,0.033415426,351
2007_12,0.016508428,173
2008_1,0.014135185,152
2008_2,0.008604913,89
2008_3,0.014081027,145
2008_4,0.03221578,330
2008_5,0.076281293,786
2008_6,0.134922764,1408
2008_7,0.152906231,1594
2008_8,0.136681175,1422
2008_9,0.132361497,1379
2008_10,0.112031165,1168
2008_11,0.074945598,784
2008_12,0.027666756,287
2009_1,0.017751795,186
2009_2,0.016343759,172
2009_3,0.027210297,284
2009_4,0.052372575,544
2009_5,0.122732305,1273
2009_6,0.2271141,2373
2009_7,0.233913761,2451
2009_8,0.188513407,1978
2009_9,0.106267386,1113
2009_10,0.072698231,764
2009_11,0.036843515,381
2009_12,0.017301688,180
2010_1,0.012998538,138
2010_2,0.011545505,123
2010_3,0.019648789,209
2010_4,0.018650239,198
2010_5,0.059106165,626
2010_6,0.132107656,1387
2010_7,0.302677793,3176
2010_8,0.292958505,3077
2010_9,0.18272742,1923
2010_10,0.094427989,986
2010_11,0.037482711,394
2010_12,0.024779032,263
2011_1,0.012494948,132
2011_2,0.008556693,90
2011_3,0.010933422,112
2011_4,0.022403786,234
2011_5,0.104574819,1082
2011_6,0.266805392,2758
2011_7,0.351879687,3628
2011_8,0.32923573,3414
2011_9,0.216475227,2242
2011_10,0.124958285,1294
2011_11,0.061855018,636
2011_12,0.035530415,368
2012_1,0.024970996,258
2012_2,0.035247,362
2012_3,0.075455278,773
2012_4,0.14096718,1455
2012_5,0.340552816,3508
2012_6,0.895095589,9263
2012_7,0.879826986,9125
2012_8,0.719514551,7484
2012_9,0.447239028,4656
2012_10,0.287735767,3000
2012_11,0.144560712,1496
2012_12,0.093415735,970
2013_1,0.059590652,616
2013_2,0.033092999,340
2013_3,0.052696711,545
2013_4,0.062120269,645
2013_5,0.152158736,1583
2013_6,0.307916336,3198
2013_7,0.431217234,4481
2013_8,0.246924331,2580
2013_9,0.137562261,1442
2013_10,0.106583981,1111
2013_11,0.07696262,796
2013_12,0.019230615,199
2014_1,0.008253115,86
2014_2,0.005307664,55
2014_3,0.008052035,85
2014_4,0.01286352,136
2014_5,0.030506294,325
2014_6,0.043346446,453
2014_7,0.053129405,554
2014_8,0.063478243,667
2014_9,0.040990664,429
2014_10,0.034439802,367
2014_11,0.03073658,325
2014_12,0.023847989,248
2015_1,0.015851792,165
2015_2,0.0092057,97
2015_3,0.012735876,133
2015_4,0.018320774,196
2015_5,0.054589948,572
2015_6,0.11780439,1219
2015_7,0.256677392,2672
2015_8,0.348585849,3632
2015_9,0.271026182,2839
2015_10,0.177289692,1836
2015_11,0.119651672,1251
2015_12,0.076689117,795
2016_1,0.049645226,526
2016_2,0.03181086,333
2016_3,0.037447318,390
2016_4,0.033118947,346
2016_5,0.042783035,455
2016_6,0.14446896,1550
2016_7,0.257982677,2750
2016_8,0.269346355,2835
2016_9,0.154445177,1612
2016_10,0.110594638,1166
2016_11,0.059850076,640
2016_12,0.022423492,237
2017_1,0.02102088,224
2017_2,0.012013044,130
2017_3,0.013259263,141
2017_4,0.01438775,152
2017_5,0.030355811,320
2017_6,0.075341149,797
2017_7,0.092924942,990
2017_8,0.085568606,905
2017_9,0.066908607,713
2017_10,0.070901334,757
2017_11,0.056406668,605
2017_12,0.05979649,639
2018_1,0.04297847,461
2018_2,0.030516319,329
2018_3,0.037005577,399
2018_4,0.045355381,488
2018_5,0.101019087,1077
2018_6,0.235590433,2511
2018_7,0.371506269,3972
2018_8,0.373052605,4002
2018_9,0.298708244,3205
2018_10,0.267669473,2878
2018_11,0.280926713,3015
2018_12,0.219221835,2344
2019_1,0.186981435,2015
2019_2,0.1582709,1708
2019_3,0.19505212,2091
2019_4,0.270339717,2902
2019_5,0.543087457,5870
2019_6,1.230988557,13401
2019_7,1.654285478,18208
2019_8,0.975468238,10737
2019_9,0.412255392,4573
2019_10,0.332691698,3691
2019_11,0.206451992,2282
2019_12,0.101731788,1119
2020_1,0.091562704,1015
2020_2,0.041736662,473
2020_3,0.029606026,338
2020_4,0.023765702,281
2020_5,0.047931933,540
2020_6,0.083444226,944
2020_7,0.192389492,2218
2020_8,0.209094471,2388
2020_9,0.13951638,1604
2020_10,0.083114284,959
2020_11,0.068989834,769
2020_12,0.040281672,448
