"month_date","provname","national_cases","cases","precip_mm","temp_C","temp_C_national","precip_mm_national","oni","mei"
2011-12-01,"Kandal",368,43,2.57388259101436,27.4329690585714,26.2622631678266,1.72046745316159,-1.04,-1.24
2011-12-01,"Koh Kong",368,2,3.03509259427743,25.0037372711111,26.2622631678266,1.72046745316159,-1.04,-1.24
2011-12-01,"Kratie",368,1,0.816476635747221,27.4184536742858,26.2622631678266,1.72046745316159,-1.04,-1.24
2011-12-01,"Oddar Meanchey",368,2,0.104530385631729,24.5678375634921,26.2622631678266,1.72046745316159,-1.04,-1.24
2011-12-01,"Pailin",368,6,0.25529987114165,24.3327201833333,26.2622631678266,1.72046745316159,-1.04,-1.24
2011-12-01,"Phnom Penh",368,155,3.04354598372579,27.3014580715873,26.2622631678266,1.72046745316159,-1.04,-1.24
2011-12-01,"Preah Sihanouk",368,7,5.131263636832,26.5344287857143,26.2622631678266,1.72046745316159,-1.04,-1.24
2011-12-01,"Preah Vihear",368,1,0.311243724746286,25.4008160212699,26.2622631678266,1.72046745316159,-1.04,-1.24
2011-12-01,"Prey Veng",368,32,1.16921117353379,27.836554071746,26.2622631678266,1.72046745316159,-1.04,-1.24
2011-12-01,"Pursat",368,2,1.70582709913322,24.5152810977778,26.2622631678266,1.72046745316159,-1.04,-1.24
2011-12-01,"Siem Reap",368,36,0.384635497655079,25.7844168011112,26.2622631678266,1.72046745316159,-1.04,-1.24
2011-12-01,"Svay Rieng",368,8,0.93577870447465,28.0416966187302,26.2622631678266,1.72046745316159,-1.04,-1.24
2011-12-01,"Takeo",368,4,2.98485804304894,27.1832665719048,26.2622631678266,1.72046745316159,-1.04,-1.24
2012-01-01,"Banteay Meanchey",258,14,1.59737559854143,26.9705652678572,27.2242205946429,2.8732824625604,-0.86,-1.12
2012-01-01,"Battambang",258,7,2.60693943400714,26.854012475,27.2242205946429,2.8732824625604,-0.86,-1.12
2012-01-01,"Kampong Cham",258,17,2.55223199957786,28.5066120892857,27.2242205946429,2.8732824625604,-0.86,-1.12
2012-01-01,"Kampong Speu",258,15,4.00922142857143,26.3260856964286,27.2242205946429,2.8732824625604,-0.86,-1.12
2012-01-01,"Kampong Thom",258,17,2.41578264043843,28.1307908857143,27.2242205946429,2.8732824625604,-0.86,-1.12
2012-01-01,"Kampot",258,2,5.57692857142857,26.4838176678571,27.2242205946429,2.8732824625604,-0.86,-1.12
2012-01-01,"Kandal",258,49,2.42078571428571,28.2515915964286,27.2242205946429,2.8732824625604,-0.86,-1.12
2012-01-01,"Koh Kong",258,6,8.29743571428572,25.10067765,27.2242205946429,2.8732824625604,-0.86,-1.12
2012-01-01,"Oddar Meanchey",258,3,1.34391077614286,26.0115563071429,27.2242205946429,2.8732824625604,-0.86,-1.12
2012-01-01,"Phnom Penh",258,60,2.3784,28.2726216071429,27.2242205946429,2.8732824625604,-0.86,-1.12
2012-01-01,"Preah Sihanouk",258,7,6.29828571428571,26.5813155964286,27.2242205946429,2.8732824625604,-0.86,-1.12
