"provname","year","lambda","CI","llik_FOI","llik_age","llik_sigma","llik_sigma_age","AIC_FOI","AIC_age","AIC_sigma","AIC_sigma_age"
"Banteay Meanchey",1985,0.05845,"[0-0.251]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",1986,0.04285,"[0-0.23]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",1987,0.04631,"[0-0.229]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",1988,0.1211,"[0-0.295]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",1989,0.09326,"[0-0.256]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",1990,0.2188,"[0.0693-0.368]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",1991,0.1725,"[0.0398-0.305]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",1992,0.2584,"[0.142-0.375]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",1993,0.3071,"[0.206-0.408]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",1994,0.3136,"[0.227-0.4]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",1995,0.2779,"[0.204-0.352]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",1996,0.3063,"[0.243-0.37]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",1997,0.2651,"[0.211-0.32]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",1998,0.2666,"[0.219-0.314]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",1999,0.2655,"[0.224-0.307]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",2000,0.2355,"[0.2-0.271]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",2001,0.27,"[0.24-0.3]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",2002,0.249,"[0.228-0.27]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",2003,0.2862,"[0.268-0.304]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",2004,0.214,"[0.193-0.234]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",2005,0.2639,"[0.246-0.282]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",2006,0.1966,"[0.181-0.213]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",2007,0.2627,"[0.249-0.277]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",2008,0.2366,"[0.221-0.252]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",2009,0.2248,"[0.208-0.241]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",2010,0.2542,"[0.24-0.268]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",2011,0.1675,"[0.156-0.179]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",2012,0.2261,"[0.216-0.236]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",2013,0.2115,"[0.198-0.225]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",2014,0.1069,"[0.0909-0.123]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",2015,0.2025,"[0.188-0.217]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",2016,0.1229,"[0.11-0.135]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",2017,0.114,"[0.101-0.127]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",2018,0.1113,"[0.0994-0.123]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",2019,0.2196,"[0.21-0.229]",11857,7651,11368,7143,23785,15412,22846,14434
"Banteay Meanchey",2020,0.0413,"[0.0347-0.0479]",11857,7651,11368,7143,23785,15412,22846,14434
"Battambang",1987,0.05446,"[0-0.343]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",1988,1e-07,"[0-0.282]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",1989,0.04267,"[0-0.318]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",1990,1e-07,"[0-0.262]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",1991,0.1747,"[0-0.413]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",1992,0.2102,"[0.000336-0.42]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",1993,0.2592,"[0.0748-0.444]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",1994,0.1604,"[0-0.323]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",1995,0.3244,"[0.183-0.466]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",1996,0.2374,"[0.115-0.36]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",1997,0.2704,"[0.163-0.378]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",1998,0.2892,"[0.196-0.383]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",1999,0.2917,"[0.211-0.372]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",2000,0.2656,"[0.196-0.335]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",2001,0.2679,"[0.208-0.327]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",2002,0.2399,"[0.193-0.287]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",2003,0.2338,"[0.197-0.27]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",2004,0.2327,"[0.195-0.27]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",2005,0.2685,"[0.237-0.3]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",2006,0.2744,"[0.245-0.303]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",2007,0.2795,"[0.256-0.303]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",2008,0.2335,"[0.208-0.259]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",2009,0.2122,"[0.187-0.237]",4371,2938,4252,2803,8810,5982,8610,5750
"Battambang",2010,0.1884,"[0.166-0.21]",4371,2938,4252,2803,8810,5982,8610,5750
