"time","y"
1,0.1
2,0.1
3,0.139234330348858
4,0.224754178849522
5,0.331511604457898
6,0.456350604604482
7,0.592900619610364
8,0.754664835985056
9,0.946789290275499
10,1.14135256413678
11,1.3343309478493
12,1.5597505193204
13,1.75603937337481
14,1.88171770679727
15,1.98718640080343
16,2.04995073650157
17,2.04013584586642
18,1.96089120457477
19,1.835075650724
20,1.68196655861254
21,1.49156987041807
22,1.25976443406086
23,0.989536878707648
24,0.682631121645088
25,0.337915260914027
26,0.1
