"provname","year","biweek","epiyr","beta","betahigh","betalow","temp_C","precip_m","precip_mm","temp_C_lag","precip_mm_lag","time","cases","births","pop"
"Banteay Meanchey",2002,16,"2007",0.000185567049041537,0.00020252119249728,0.000169985868434482,27.9065549714286,0.00500675,5.00675,24.3822546428572,3.85107142857143,2002.57692307692,105,648.786992346162,634556.809895196
"Banteay Meanchey",2002,17,"2007",0.0001678862647548,0.000183103238470605,0.000153893185360477,26.8491930642857,0.00814029285714286,8.14029285714286,28.1454856928572,4.3116,2002.61538461538,59,648.912282119557,635009.868077422
"Banteay Meanchey",2002,18,"2007",0.0001249275400226,0.000136269793923346,0.000114497589351389,27.4230363214286,0.0089794,8.9794,28.7107638285714,5.00675,2002.65384615385,73,649.037571892952,635462.926259648
"Banteay Meanchey",2002,19,"2007",0.00014947340649822,0.000162400545366994,0.000137537672619049,26.8481177071429,0.0137442357142857,13.7442357142857,29.1757264428572,8.14029285714286,2002.69230769231,54,649.162861666347,635915.984441875
"Banteay Meanchey",2002,2,"2007",6.57836446664664e-05,7.43347222899787e-05,5.80047561315414e-05,27.3362393071429,4.28731809062714e-05,0.0428731809062714,28.2662717928571,8.9794,2002.03846153846,2,647.03293551863,628213.995344026
"Banteay Meanchey",2002,20,"2007",0.00011705475244982,0.000127270572893339,0.000107626179363918,27.81774955,0.00604385714285714,6.04385714285714,28.8497108142857,13.7442357142857,2002.73076923077,60,649.288151439742,636369.042624101
"Banteay Meanchey",2002,21,"2007",0.000109252517449814,0.000118867736733419,0.000100374147897014,27.5421394285714,0.00107688910338808,1.07688910338808,28.3680230142858,0.0428731809062714,2002.76923076923,42,649.413441213137,636822.100806327
"Banteay Meanchey",2002,22,"2007",0.000108634916946224,0.000118310410010869,9.96974310674051e-05,27.1151966,0.00549399778970714,5.49399778970714,27.9065549714286,6.04385714285714,2002.80769230769,21,649.538730986533,637275.158988554
"Banteay Meanchey",2002,23,"2007",4.92181504201248e-05,5.46965534503357e-05,4.42151103990517e-05,27.1526943785715,0.00170443070925214,1.70443070925214,26.8491930642857,1.07688910338808,2002.84615384615,18,649.664020759928,637728.21717078
"Banteay Meanchey",2002,24,"2007",0.000126530504865286,0.000138428744487827,0.00011550904018995,27.3448946642857,0.00116515,1.16515,27.4230363214286,5.49399778970714,2002.88461538462,10,649.789310533323,638181.275353006
"Banteay Meanchey",2002,25,"2007",8.31640433741335e-05,9.17440518136959e-05,7.52691476734409e-05,27.6795767857143,0.000917714796099357,0.917714796099357,26.8481177071429,1.70443070925214,2002.92307692308,10,649.914600306718,638634.333535233
"Banteay Meanchey",2002,26,"2007",8.70213441712185e-05,9.77920000621003e-05,7.71932083409253e-05,27.93685544,0.000225382696366667,0.225382696366667,27.3362393071429,1.16515,2002.96153846154,3,650.039890080113,639087.391717459
"Banteay Meanchey",2002,3,"2007",6.76937804589956e-05,7.69177584249051e-05,5.93214668375027e-05,27.4461387142857,0.00014447334807445,0.14447334807445,27.81774955,0.917714796099357,2002.07692307692,2,647.158225292025,628667.053526253
"Banteay Meanchey",2002,4,"2007",0.000185905061950795,0.000202999292668886,0.000169996847632494,28.6580001642857,9.7668448301e-05,0.097668448301,27.5421394285714,0.225382696366667,2002.11538461538,2,647.28351506542,629120.111708479
"Banteay Meanchey",2002,5,"2007",9.14682431019984e-05,0.000100468790381329,8.31637761420294e-05,28.2076475,0.00181276583062539,1.81276583062539,27.1151966,0.14447334807445,2002.15384615385,16,647.408804838815,629573.169890705
"Banteay Meanchey",2002,6,"2007",0.000128148230387509,0.00013958248327484,0.000117542994886524,30.5423274285715,0.000894752684724986,0.894752684724986,27.1526943785715,0.097668448301,2002.19230769231,25,647.534094612211,630026.228072932
"Banteay Meanchey",2002,7,"2007",0.00010278914593774,0.000112078249296908,9.41936439539765e-05,30.9545135285715,0.00116789435440714,1.16789435440714,27.3448946642857,1.81276583062539,2002.23076923077,24,647.659384385606,630479.286255158
"Banteay Meanchey",2002,8,"2007",0.000177233437075801,0.000191550241354435,0.000163913614034881,29.9437101785715,0.00240444285714286,2.40444285714286,27.6795767857143,0.894752684724986,2002.26923076923,2,647.784674159001,630932.344437385
"Banteay Meanchey",2002,9,"2007",0.000157044729678211,0.000169594463145851,0.000145381435896727,29.5174129571429,0.00427825,4.27825,27.93685544,1.16789435440714,2002.30769230769,37,647.909963932396,631385.402619611
"Banteay Meanchey",2003,1,"2007",8.85555372916643e-05,9.89238163744855e-05,7.90549481366609e-05,24.8333033571429,9.51866013435714e-07,0.000951866013435714,27.4461387142857,2.40444285714286,2003,14,650.165179853508,639539.027655765
"Banteay Meanchey",2003,10,"2007",0.00023109763334645,0.000249564651266159,0.000213941513973697,29.3328259571429,0.00602501428571429,6.02501428571429,28.6580001642857,4.27825,2003.34615384615,42,652.079400867868,643373.347585399
"Banteay Meanchey",2003,11,"2007",0.000161320141541153,0.00017524630905895,0.000148459867936554,28.9550777714286,0.00729834285714286,7.29834285714286,28.2076475,0.000951866013435714,2003.38461538462,76,652.308041261471,643799.383133136
"Banteay Meanchey",2003,12,"2007",0.000219942360976481,0.000238640257642301,0.000202658349525399,29.5287009285714,0.00292113571428571,2.92113571428571,30.5423274285715,6.02501428571429,2003.42307692308,107,652.536681655073,644225.418680873
"Banteay Meanchey",2003,13,"2007",0.000248210704992186,0.000270189958253342,0.000227958531495254,28.1037682857143,0.0037016,3.7016,30.9545135285715,7.29834285714286,2003.46153846154,114,652.765322048676,644651.45422861
"Banteay Meanchey",2003,14,"2007",0.000218252021784243,0.000238646549856815,0.000199539831783857,28.3274035,0.00585640714285714,5.85640714285714,29.9437101785715,2.92113571428571,2003.5,143,652.993962442279,645077.489776348
"Banteay Meanchey",2003,15,"2007",0.000168395754068142,0.000184303412003918,0.000153814797380359,28.4179887785714,0.0062149,6.2149,29.5174129571429,3.7016,2003.53846153846,144,653.222602835882,645503.525324085
