year,month,meant,maxt,mint
2015,7,28.40847921,30.20438419,25.9936954
2015,8,28.00546125,28.90812595,26.37077431
2015,9,27.62936316,29.40992435,25.15522327
2015,10,27.54499122,28.74084548,25.90736156
2015,11,28.14915964,28.93586425,26.23001119
2015,12,27.89182193,29.27201383,24.60301374
2016,1,27.72547318,29.07779075,22.45427194
2016,2,27.27998811,29.41744069,21.78795613
2016,3,29.68780762,31.01233101,26.81429352
2016,4,31.43242533,32.58715155,30.11941148
2016,5,29.96420485,32.08405625,27.50644401
2016,6,28.44879607,30.76140462,25.93258472
2016,7,27.59359997,29.25541658,26.00908157
2016,8,28.18441758,29.32495227,26.58126542
2016,9,27.47598568,29.07825613,25.41242176
2016,10,27.03710759,27.85835522,26.24605712
2016,11,27.37961402,28.29070596,26.21253899
2016,12,26.09988847,27.65615658,24.33472644
2017,1,27.09798747,28.42012337,24.91812659
2017,2,27.6080953,29.30911281,25.58469439
2017,3,28.63107429,29.795058,27.45554358
2017,4,28.96104414,30.62362629,25.94820292
2017,5,28.35944744,30.24064522,26.91550068
2017,6,28.28338091,29.92797493,26.56591318
2017,7,27.33412438,29.00652357,25.54758792
2017,8,27.85872055,29.39944731,26.26766436
2017,9,27.99811393,29.11319753,26.2224587
2017,10,27.28550709,28.40417488,25.91702305
2017,11,26.83700556,28.68495577,24.5916521
2017,12,25.60340761,27.54797305,21.12196986
2018,1,26.90496959,28.3015581,23.25817352
2018,2,26.99542703,29.15080095,23.0818352
2018,3,28.39239838,29.71820491,26.24627021
2018,4,29.04237457,31.48692858,26.34010229
2018,5,28.31933134,29.1689703,26.79180536
2018,6,27.67954831,28.98542436,26.19246847
2018,7,27.62537515,28.63827652,26.07243594
2018,8,27.20649117,28.30871148,25.82953982
2018,9,27.24644741,28.8612575,25.90221436
2018,10,27.75129869,28.87261218,25.88951757
2018,11,27.95607072,29.24326463,24.87107097
2018,12,28.15430446,29.31100115,26.33489678
2019,1,27.73812845,29.07316774,25.21804317
2019,2,29.34240018,30.19648112,28.2063943
2019,3,29.84391804,31.1779395,27.24790216
2019,4,30.4150496,32.11316467,27.894725
2019,5,29.25098314,31.11128845,26.85466326
2019,6,28.80638319,30.21221661,27.14776141
2019,7,28.31713467,30.12411077,25.53760545
2019,8,27.6903647,29.30894772,25.95881694
2019,9,27.00428523,28.67712471,25.15753085
2019,10,27.58136546,28.66057486,24.60779851
2019,11,26.47166888,28.15358581,24.45207852
2019,12,25.52086073,27.27315358,22.05304799
2020,1,26.8557973,27.99001883,25.21615438
2020,2,27.17949788,28.86098604,25.34806375
2020,3,29.27223713,30.27124538,27.77533579
2020,4,29.06782275,30.7421416,26.12970011
2020,5,29.78186401,31.87695035,27.28109292
2020,6,27.38972076,28.55325878,25.30221009
2020,7,27.01473141,27.88453836,25.18638965
2020,8,26.89399728,28.59672402,25.49844999
2020,9,26.71001125,27.98691069,24.81304737
2020,10,25.24658792,26.68967932,24.13079772
2020,11,25.70596609,27.10167733,22.39887289
2020,12,25.39678949,27.30617939,22.87930833
2021,1,25.01195104,27.36787067,21.24197995
2021,2,26.32835029,28.23512354,24.88148633
2021,3,28.86865455,30.46132664,27.91819677
2021,4,28.11263533,30.53974182,26.88261499
2021,5,28.22721671,29.58657056,26.04542733
2021,6,27.64004003,29.31803256,25.60635986
2021,7,26.96313976,29.69253445,24.81987502
2021,8,26.95507986,28.5357978,24.91647639
2021,9,25.82452511,27.19298947,24.81428643
2021,10,25.73478339,27.05005093,22.92245287
2021,11,25.5754701,27.1733594,22.83894152
2021,12,24.58840818,26.87547711,21.47515974
