year,month,meant,maxt,mint
2001,1,27.3609713,29.14875853,24.80169726
2001,2,28.28772385,29.6659585,25.76376458
2001,3,28.20517673,30.24338512,26.33796293
2001,4,29.67045077,31.28142981,27.4362113
2001,5,28.469013,31.13609599,25.87699882
2001,6,27.52511027,28.81652208,26.05782178
2001,7,27.6221478,28.79247296,25.45287743
2001,8,26.96524689,28.97208144,25.78213996
2001,9,27.24722377,28.72270164,26.15559803
2001,10,26.85869647,27.69775173,24.99760219
2001,11,25.18087155,27.60150461,23.01600122
2001,12,26.1291961,28.35868138,22.20824322
2002,1,26.31933755,29.17446635,23.74164855
2002,2,28.00665963,29.42996276,26.44993602
2002,3,29.41306996,30.76146966,26.77383176
2002,4,29.64308378,30.9497571,27.90185234
2002,5,29.14356498,30.76584095,27.07891622
2002,6,28.13182103,29.82956553,25.4831252
2002,7,28.35365417,29.49394892,26.2947333
2002,8,26.92046966,29.1344556,25.03179525
2002,9,26.80538559,28.00749259,25.47291555
2002,10,27.27331376,28.38010702,25.4700325
2002,11,26.93689215,28.54820912,24.57986971
2002,12,27.71274443,28.83833132,26.50275937
2003,1,26.54841933,28.10712182,23.61895247
2003,2,28.34200698,29.69005547,24.79865507
2003,3,29.13095197,31.15131897,27.44785577
2003,4,30.27743764,31.69311412,28.03889158
2003,5,28.64319206,30.82691793,27.21366911
2003,6,28.39135547,30.18125592,26.32818382
2003,7,27.36991963,28.82157143,25.29780367
2003,8,27.42980592,28.7210335,25.39337205
2003,9,26.80841168,27.62301116,25.46240472
2003,10,26.61756657,27.95785923,25.42225408
2003,11,27.03687756,28.48943168,23.57823153
2003,12,25.54331316,27.73901749,22.68010732
2004,1,26.78499062,28.37695524,24.06638991
2004,2,26.93931866,29.08115342,24.41810463
2004,3,29.30063491,30.58978887,27.59435198
2004,4,30.02120038,31.16729059,28.4643152
2004,5,28.90667687,30.52379068,27.15244083
2004,6,27.42122968,29.08311796,25.26112432
2004,7,27.47332419,28.95226729,25.65972872
2004,8,27.12420426,28.61170879,25.49099413
2004,9,27.05942689,28.27670701,25.45318721
2004,10,26.69100442,27.92496372,25.60261952
2004,11,27.67567787,29.09486187,25.82270021
2004,12,25.59067094,27.28160917,24.56170031
2005,1,25.73922922,28.19749475,22.24134735
2005,2,28.61113602,29.97236962,27.50019205
2005,3,28.8070351,31.00947846,23.81614605
2005,4,29.90331442,31.06084082,28.86034001
2005,5,29.23018731,32.14605584,27.60602853
2005,6,28.42097068,29.85945853,26.42256138
2005,7,27.04830415,28.61745383,25.82869187
2005,8,27.25578415,28.97977393,25.59895582
2005,9,26.93521314,27.98361923,25.16765587
2005,10,26.97197478,27.92797529,25.86541135
2005,11,26.47996548,27.95009881,23.75995641
2005,12,25.03637513,27.10535443,20.99565058
2006,1,26.89021453,28.53604691,24.77681897
2006,2,28.21503155,29.34360988,26.94081606
2006,3,28.63900256,30.25912532,25.97381169
2006,4,28.7878512,30.10375977,26.81471207
2006,5,28.33508987,29.83035924,25.8477742
2006,6,27.98487248,29.18342318,25.81845882
2006,7,27.12854623,28.83701364,25.5107316
2006,8,26.88638609,27.8848344,25.37625613
2006,9,26.80870228,28.41035417,25.54853295
2006,10,26.93677597,27.77871143,25.76267723
2006,11,27.91726359,29.03484936,26.59239336
2006,12,26.46083194,28.81830598,22.5355852
2007,1,26.57336448,28.70907653,22.86218211
2007,2,27.40484823,29.31083757,23.04705519
2007,3,28.82705387,30.22029786,25.08614415
2007,4,29.23804044,30.57083083,27.02828103
2007,5,27.81098293,29.59529319,26.29125792
2007,6,28.22309865,29.61752756,26.48289476
2007,7,27.17540155,28.5343951,25.58418704
2007,8,27.23227708,28.60730153,25.4994189
2007,9,27.27546669,28.80337883,25.20206995
2007,10,26.52500529,27.4143123,22.86219282
2007,11,24.97190914,27.22124301,21.69521442
2007,12,26.41245901,28.21032615,22.84433628
2008,1,26.67517116,28.37444211,23.67518142
2008,2,26.7518447,28.4284645,25.42139064
2008,3,28.06597359,29.80010512,25.85142952
2008,4,28.82040621,30.15904544,27.14303055
2008,5,27.4937728,29.14049765,25.22255286
2008,6,27.74734619,29.08731008,26.06257178
2008,7,27.61876924,28.87187796,26.10252495
2008,8,27.20743844,28.61892034,25.75321443
2008,9,26.7411822,28.32969327,24.79311231
2008,10,26.94053757,27.98693223,25.54562887
2008,11,25.80782361,26.92364227,23.89640196
2008,12,24.83122351,26.397993,23.09859581
2009,1,24.37281364,26.85136878,20.61676291
2009,2,27.56874611,29.75290172,25.32095014
2009,3,28.51899246,29.90345985,26.23375807
2009,4,28.47534008,30.08319947,26.68992744
2009,5,27.68375194,28.93345035,26.73120473
2009,6,27.93600665,29.29862844,26.31022031
2009,7,27.25526936,29.4729709,25.31546128
2009,8,27.76089913,28.76806167,26.03858656
2009,9,26.70214097,28.04638318,25.13887205
2009,10,26.66398312,27.79837885,25.45962548
2009,11,26.61016165,28.66213082,24.02710451
2009,12,26.54884886,27.75417805,24.65167003
2010,1,26.78483849,28.34149429,24.33516717
2010,2,29.03674056,30.63131722,28.18150282
2010,3,30.00006317,31.22700633,26.72739477
2010,4,30.53337771,32.45960986,28.4964126
2010,5,29.91204097,31.50472043,28.31407488
2010,6,28.74908384,30.59165135,27.19397993
2010,7,27.98654074,29.20544169,26.69614431
2010,8,27.27871234,28.30769175,25.78393573
2010,9,27.520155,28.57714792,26.36457957
2010,10,26.41712149,28.15756789,22.42820858
2010,11,26.0953263,27.17328776,24.1379737
2010,12,26.24939409,27.43120525,23.25031845
2011,1,26.10397907,28.04759421,23.69837843
2011,2,27.7608277,29.2550113,25.790817
2011,3,27.8545076,30.14319818,24.95390288
2011,4,28.64885883,30.30632454,27.28739458
2011,5,28.5134489,29.72263258,26.80431476
2011,6,27.74535476,28.68558798,26.33514819
2011,7,27.54477027,29.24616355,25.99104935
2011,8,27.30638119,29.05434315,25.42455595
2011,9,26.65197745,28.08201203,24.63241263
2011,10,26.77968031,27.71085723,25.67775582
2011,11,27.13711066,28.50841461,25.83546535
2011,12,25.75888132,27.54393597,23.0973922
2012,1,27.23026306,28.24445851,25.50082873
2012,2,28.45055133,30.19196185,26.06927963
2012,3,29.46418847,30.57172373,26.65317059
2012,4,29.11174061,30.82865043,26.98144082
2012,5,28.42345344,30.0192101,26.74449045
2012,6,28.33647957,29.34905558,26.63435109
2012,7,27.59587395,29.03254829,26.16251402
2012,8,28.00345774,29.3520735,26.03272066
2012,9,26.7494413,27.99890697,25.52233447
2012,10,27.29817624,28.61323776,24.70010403
2012,11,27.43264613,28.79282628,26.39507499
2012,12,27.53035219,28.81449815,25.32511739
2013,1,26.79532624,28.17606819,25.08889172
2013,2,29.19844798,30.85997806,26.42836282
2013,3,30.12724906,31.61510112,28.36291938
2013,4,29.61869254,32.42654847,26.86157296
2013,5,29.11620113,30.78922683,27.79219261
2013,6,27.98652293,30.36240276,26.18346647
2013,7,27.10196528,29.1772977,25.1163645
2013,8,27.33861021,28.93776498,25.81084751
2013,9,26.85719565,28.60816019,25.10593911
2013,10,26.78626935,28.02454905,25.41870884
2013,11,26.88048781,28.16244835,24.34841635
2013,12,24.07809549,27.82259248,21.45295097
2014,1,24.31191572,26.56327794,20.98862112
2014,2,26.97493064,28.09872504,24.88099831
2014,3,29.80967946,31.11250859,28.31427792
2014,4,28.81522992,30.65672564,26.84142623
2014,5,29.61232177,30.75822086,27.64219752
2014,6,28.39073551,30.32486289,26.44602349
2014,7,27.59836225,28.91399838,25.79740819
2014,8,27.60470099,28.87767597,25.81259928
2014,9,27.32392654,28.72974117,25.61355348
2014,10,27.19520817,28.1092118,25.54314624
2014,11,27.89151987,28.90486366,26.72639869
2014,12,26.23229322,28.21961198,23.88475106
2015,1,25.53030522,27.59026377,23.25852145
2015,2,26.88890078,29.67181912,24.75606922
2015,3,29.56539776,30.28787491,28.9635364
2015,4,29.79797349,31.95952481,27.96547775
2015,5,29.96442077,30.92934753,28.76663524
2015,6,28.68153789,30.94651255,26.39041915
