year,month,sumppt,meanppt
2014,8,0.21607685,0.006970221
2014,9,0.241237777,0.008041259
2014,10,0.225710046,0.007280969
2014,11,0.053259116,0.001775304
2014,12,0.041154909,0.001327578
2015,1,0.007270147,0.000234521
2015,2,0.015967596,0.000570271
2015,3,0.026212197,0.000845555
2015,4,0.083962428,0.002798748
2015,5,0.113268533,0.003653824
2015,6,0.196344354,0.006544812
2015,7,0.184112491,0.005939113
2015,8,0.243229254,0.007846105
2015,9,0.28747505,0.009582502
2015,10,0.193522598,0.006242664
2015,11,0.073462261,0.002448742
2015,12,0.01863374,0.000601088
2016,1,0.025699346,0.000829011
2016,2,0.00299118,0.000106828
2016,3,0.010504546,0.000338856
2016,4,0.020734952,0.000691165
2016,5,0.196567504,0.006340887
2016,6,0.236207876,0.007873596
2016,7,0.267069273,0.008615138
2016,8,0.228679419,0.007376755
2016,9,0.318778088,0.010625936
2016,10,0.316309631,0.010203536
2016,11,0.140688519,0.004689617
2016,12,0.095714594,0.003087568
2017,1,0.034892438,0.001125563
2017,2,0.022771517,0.000813268
2017,3,0.112553099,0.003630745
2017,4,0.118147915,0.003938264
2017,5,0.268435527,0.008659211
2017,6,0.188623769,0.006287459
2017,7,0.300619335,0.009697398
2017,8,0.252758285,0.008153493
2017,9,0.223019992,0.007434
2017,10,0.240295587,0.007751471
2017,11,0.145208019,0.004840267
2017,12,0.038918342,0.00125543
2018,1,0.05489673,0.001770862
2018,2,0.017099819,0.000610708
2018,3,0.06778635,0.002186656
2018,4,0.104335162,0.003477839
2018,5,0.222965908,0.007192449
2018,6,0.219557388,0.00731858
2018,7,0.273194792,0.008812735
2018,8,0.299231719,0.009652636
2018,9,0.268314992,0.008943833
2018,10,0.187956957,0.006063128
2018,11,0.07633664,0.002544555
2018,12,0.039208243,0.001264782
2019,1,0.013290587,0.000428729
2019,2,0.007124322,0.00025444
2019,3,0.053029649,0.001710634
2019,4,0.076267846,0.002542262
2019,5,0.184433142,0.005949456
2019,6,0.169423188,0.00564744
2019,7,0.174696059,0.005635357
2019,8,0.256867331,0.008286043
2019,9,0.382912946,0.012763765
2019,10,0.120297478,0.003880564
2019,11,0.067315251,0.002243842
2019,12,0.00324207,0.000104583
2020,1,0.003900506,0.000125823
2020,2,0.003090313,0.000110368
2020,3,0.01461448,0.000471435
2020,4,0.060811846,0.002027062
2020,5,0.096737883,0.003120577
2020,6,0.19813741,0.00660458
2020,7,0.190790426,0.00615453
2020,8,0.189000889,0.006096803
2020,9,0.244997153,0.008166572
2020,10,0.293573706,0.00947012
2020,11,0.065257057,0.002175235
2020,12,0.020389982,0.000657741
2021,1,0.003531532,0.00011392
2021,2,0.007956228,0.000284151
2021,3,0.016940497,0.000546468
2021,4,0.111944292,0.003731476
2021,5,0.146715139,0.004732746
2021,6,0.123383657,0.004112789
2021,7,0.206846523,0.006672468
2021,8,0.198049432,0.006388691
2021,9,0.30542859,0.010180953
2021,10,0.263257073,0.008492164
2021,11,0.105200638,0.003506688
2021,12,0.02385664,0.000769569
